CHA,MIL,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. WashingtonP.J. WashingtonPF,36,3-9,2-7,1-2,1,9,10,4,0,1,1,4,9,-5
G. HaywardG. HaywardSF,32,5-11,1-2,7-7,1,2,3,5,1,2,0,1,18,+4
M. BridgesM. BridgesSF,35,9-18,3-11,1-2,0,9,9,1,0,2,4,4,22,-2
L. BallL. BallPG,41,12-22,8-15,4-4,1,4,5,9,3,1,7,4,36,+2
T. RozierT. RozierSG,38,3-10,1-6,3-3,0,3,3,8,3,1,0,2,10,+2
J. McDanielsJ. McDanielsPF,23,2-3,1-1,0-0,0,4,4,1,0,2,1,2,5,+5
N. RichardsN. RichardsC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-7
I. SmithI. SmithPG,3,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,-5
K. Oubre Jr.K. Oubre Jr.SG,31,9-14,5-9,2-3,0,2,2,1,1,0,3,4,25,-4
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,38,15-24,1-4,9-13,3,9,12,9,1,0,6,3,40,+4
K. MiddletonK. MiddletonSF,33,6-18,4-8,5-5,1,5,6,5,0,0,1,3,21,+4
B. PortisB. PortisC,26,4-11,0-3,2-2,3,4,7,1,1,0,1,3,10,-6
J. HolidayJ. HolidayPG,38,5-11,1-3,0-0,0,4,4,7,2,1,1,3,11,-5
G. AllenG. AllenSG,30,6-9,3-5,1-2,1,6,7,2,2,0,2,4,16,+1
T. AntetokounmpoT. AntetokounmpoSF,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
D. CousinsD. CousinsC,15,3-5,1-2,0-0,1,3,4,1,1,0,0,1,7,+9
G. HillG. HillPG,28,3-7,1-4,4-4,0,3,3,0,1,0,2,1,11,+9
P. ConnaughtonP. ConnaughtonSG,27,4-8,3-6,0-0,0,2,2,3,2,0,0,2,11,+3
R. HoodR. HoodSG,6,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0,-9
