HOU,OKC,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,35,11-15,1-2,9-10,4,6,10,7,2,5,3,3,32,+6
C. WoodC. WoodC,9,0-1,0-1,0-0,0,0,0,0,0,1,0,0,0,-11
E. GordonE. GordonSG,32,3-12,2-7,0-0,0,1,1,6,0,0,6,1,8,+1
G. MathewsG. MathewsSG,36,4-7,4-7,2-2,0,2,2,0,1,0,0,3,14,+13
K. Porter Jr.K. Porter Jr.SG,13,3-7,3-5,1-2,0,2,2,1,2,0,1,1,10,-1
K. Martin Jr.K. Martin Jr.F,19,6-8,0-2,0-0,1,3,4,2,1,0,1,3,12,0
D. House Jr.D. House Jr.SF,15,1-6,0-3,2-2,0,1,1,2,0,1,4,1,4,-6
D. TheisD. TheisC,21,0-1,0-1,1-2,1,8,9,2,0,1,1,2,1,+12
A. SengunA. SengunC,13,2-4,0-0,1-1,0,2,2,4,2,2,0,4,5,-6
A. BrooksA. BrooksSG,30,7-10,4-7,0-0,0,4,4,0,1,2,1,3,18,+15
J. ChristopherJ. ChristopherSG,16,3-8,1-2,3-3,2,3,5,1,0,0,1,4,10,-3
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,25,2-6,0-0,0-0,2,5,7,1,3,1,2,0,4,-2
J. Robinson-EarlJ. Robinson-EarlPF,34,5-9,0-2,2-4,4,5,9,4,1,0,1,4,12,-8
L. DortL. DortSF,36,7-13,4-8,1-2,0,2,2,4,2,1,2,4,19,+11
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,38,12-26,1-8,14-16,1,3,4,2,0,1,1,2,39,-15
T. MannT. MannPG,32,4-13,2-7,1-1,1,1,2,0,0,0,3,1,11,-7
I. RobyI. RobyF,14,2-5,0-2,2-3,0,3,3,3,1,2,0,0,6,+4
A. PokusevskiA. PokusevskiC,8,2-4,0-2,0-0,1,1,2,1,1,1,0,1,4,+11
T. MaledonT. MaledonPG,8,0-0,0-0,1-2,1,2,3,0,1,0,3,1,1,-6
P. WatsonP. WatsonSG,19,1-2,1-2,0-0,0,2,2,1,0,0,0,0,3,-3
T. JeromeT. JeromeSG,16,5-7,0-1,1-1,0,0,0,0,0,0,1,3,11,+5
A. WigginsA. WigginsSG,10,0-0,0-0,0-0,0,1,1,0,0,0,0,5,0,-10
