SAC,LAC,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MetuC. MetuPF,23,5-12,2-6,1-2,2,4,6,1,0,0,0,0,13,+11
R. HolmesR. HolmesC,33,7-9,0-0,2-3,2,9,11,3,0,0,0,3,16,+15
D. FoxD. FoxPG,36,7-14,2-4,8-9,0,3,3,5,3,1,1,2,24,+6
T. HaliburtonT. HaliburtonPG,40,5-13,2-9,0-0,0,1,1,11,0,0,0,0,12,-3
T. DavisT. DavisSG,30,9-14,5-9,0-0,0,4,4,2,3,0,3,3,23,+17
L. KingL. KingPF,14,2-4,1-2,3-3,0,2,2,1,0,0,0,2,8,-4
A. LenA. LenC,15,2-5,0-1,0-0,1,3,4,1,0,0,2,2,4,-4
D. MitchellD. MitchellPG,28,7-10,3-4,3-3,0,3,3,2,2,0,2,2,20,+8
B. HieldB. HieldSG,22,2-7,0-3,0-0,2,2,4,2,0,0,3,2,4,-1
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,22,1-9,0-3,0-0,0,4,4,4,0,1,1,1,2,-7
S. IbakaS. IbakaC,19,2-8,1-4,0-0,3,2,5,4,1,0,0,1,5,-8
I. ZubacI. ZubacC,24,8-10,0-0,1-1,3,4,7,0,1,0,1,1,17,-9
R. JacksonR. JacksonPG,27,5-15,0-4,2-2,2,2,4,6,0,0,1,2,12,-12
E. BledsoeE. BledsoeSG,19,3-5,1-1,1-1,0,3,3,3,2,0,2,0,8,-13
J. WinslowJ. WinslowPF,6,1-1,0-0,0-0,1,2,3,3,1,0,0,0,2,+10
I. HartensteinI. HartensteinC,18,5-8,0-0,1-3,4,4,8,4,1,2,1,1,11,-12
T. MannT. MannSG,26,8-13,1-5,2-4,2,2,4,4,0,0,1,3,19,-7
L. KennardL. KennardSG,29,7-12,4-6,1-1,0,4,4,2,0,0,1,1,19,-5
B. Boston Jr.B. Boston Jr.SG,24,5-10,1-3,2-2,1,2,3,1,1,2,2,2,13,-6
K. JohnsonK. JohnsonSG,12,0-2,0-1,2-2,1,2,3,2,1,0,1,3,2,+14
J. ScrubbJ. ScrubbSG,16,2-7,1-4,0-0,0,1,1,2,0,1,0,0,5,+10
