CHI,NY,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,38,12-19,0-0,10-11,0,6,6,3,1,1,2,4,34,-3
J. GreenJ. GreenSF,29,2-5,0-0,0-0,4,1,5,0,0,0,0,1,4,-3
N. VucevicN. VucevicC,34,10-18,5-9,2-2,3,4,7,3,0,1,2,3,27,+7
L. BallL. BallPG,34,3-14,2-10,0-0,1,4,5,6,0,3,2,4,8,-9
Z. LaVineZ. LaVineSG,35,9-18,3-6,6-6,1,6,7,5,1,1,3,1,27,+7
D. Jones Jr.D. Jones Jr.SF,14,3-3,0-0,0-0,0,1,1,0,2,2,1,2,6,-3
T. Brown Jr.T. Brown Jr.SF,9,2-2,1-1,0-0,1,1,2,0,1,0,1,0,5,-3
A. CarusoA. CarusoSG,31,2-7,0-3,2-2,3,3,6,6,4,0,4,4,6,+21
A. DosunmuA. DosunmuSG,17,1-3,0-0,0-0,0,0,0,1,1,0,0,3,2,+6
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,39,14-21,0-0,2-5,4,8,12,6,0,2,7,5,30,-2
M. RobinsonM. RobinsonC,30,3-5,0-0,3-3,3,5,8,0,0,5,2,3,9,+7
A. BurksA. BurksSG,43,3-10,1-5,9-10,2,5,7,3,2,0,1,2,16,+3
E. FournierE. FournierSG,32,6-14,4-10,0-0,0,1,1,0,4,0,0,2,16,-5
I. QuickleyI. QuickleySG,38,6-17,3-9,0-0,0,3,3,3,2,0,1,4,15,-2
O. ToppinO. ToppinPF,19,4-6,0-0,0-0,1,3,4,1,2,0,2,1,8,-6
K. Knox IIK. Knox IIF,4,1-1,1-1,0-0,0,0,0,0,0,0,0,1,3,+2
T. GibsonT. GibsonC,3,1-2,0-0,0-1,0,1,1,0,0,0,2,2,2,-7
D. RoseD. RosePG,26,4-6,0-1,8-8,0,2,2,6,0,1,3,0,16,-14
Q. GrimesQ. GrimesSG,6,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+4
