SA,POR,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,22,7-13,2-6,0-0,2,2,4,3,0,0,0,1,16,+26
K. JohnsonK. JohnsonSF,34,4-9,2-4,4-5,0,7,7,1,0,0,1,2,14,+30
J. PoeltlJ. PoeltlC,30,7-12,0-0,0-1,1,8,9,2,1,4,2,3,14,+20
D. WhiteD. WhitePG,30,4-11,3-8,1-2,1,6,7,5,1,1,0,1,12,+3
D. MurrayD. MurrayPG,35,6-16,3-7,0-0,0,7,7,13,2,0,2,3,15,+24
T. YoungT. YoungPF,15,3-4,0-0,2-2,2,2,4,1,2,0,3,2,8,+5
D. EubanksD. EubanksPF,4,0-1,0-0,3-4,0,1,1,1,0,0,0,0,3,+6
K. Bates-DiopK. Bates-DiopSF,9,0-0,0-0,0-0,0,5,5,0,1,0,3,1,0,+4
J. LandaleJ. LandaleC,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+6
T. JonesT. JonesPG,19,2-6,0-0,1-1,0,3,3,3,1,0,0,1,5,+12
B. ForbesB. ForbesSG,15,7-9,3-5,1-1,0,0,0,0,2,0,0,1,18,+13
L. Walker IVL. Walker IVSG,15,3-8,1-5,0-0,0,1,1,3,0,0,1,0,7,+4
D. VassellD. VassellSG,10,1-2,0-1,0-0,0,0,0,0,0,0,0,0,2,+2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,29,4-7,2-4,0-0,3,3,6,1,0,0,3,4,10,-23
N. PowellN. PowellSF,29,3-13,2-5,8-8,0,4,4,1,0,1,2,1,16,-20
J. NurkicJ. NurkicC,23,3-8,0-0,4-4,1,6,7,1,0,0,2,2,10,-19
C. McCollumC. McCollumSG,32,7-18,2-6,0-2,1,3,4,2,2,3,3,2,16,-28
A. SimonsA. SimonsSG,11,0-3,0-2,0-0,0,0,0,1,0,0,0,1,0,-6
L. Nance Jr.L. Nance Jr.PF,21,2-5,0-2,0-2,1,4,5,1,3,0,1,1,4,-7
T. WatfordT. WatfordPF,5,0-2,0-0,0-0,0,1,1,1,0,0,1,0,0,-7
BrownBrown PF,5,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,-7
T. SnellT. SnellSF,20,0-2,0-1,0-0,1,3,4,2,0,0,1,0,0,-4
K. BlevinsK. BlevinsSF,5,1-3,1-2,0-0,0,1,1,0,0,0,0,0,3,-7
C. ZellerC. ZellerC,10,1-2,0-0,0-0,1,2,3,0,0,1,1,1,2,+1
D. Smith Jr.D. Smith Jr.PG,19,2-8,1-3,1-1,0,3,3,5,2,0,3,5,6,-8
B. McLemoreB. McLemoreSG,27,4-9,3-8,0-0,0,2,2,3,1,0,0,1,11,-13
C. EllebyC. EllebySG,5,2-2,1-1,0-0,0,1,1,0,0,0,1,2,5,-7
