CHI,BKN,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,38,13-24,1-2,2-4,0,6,6,3,0,0,2,3,29,-1
N. VucevicN. VucevicC,35,5-13,1-3,0-0,0,5,5,2,1,0,0,1,11,-3
L. BallL. BallPG,40,3-10,2-7,0-0,2,8,10,7,2,3,3,1,8,0
A. CarusoA. CarusoSG,8,2-4,2-4,0-0,1,0,1,0,1,0,0,0,6,-6
Z. LaVineZ. LaVineSG,37,9-20,2-9,11-13,0,8,8,6,0,1,0,1,31,-4
A. JohnsonA. JohnsonF,7,0-0,0-0,0-0,1,1,2,0,0,0,1,0,0,+4
D. Jones Jr.D. Jones Jr.SF,33,2-4,2-3,2-2,1,2,3,1,0,4,1,3,8,+2
T. Brown Jr.T. Brown Jr.SF,13,1-4,0-2,3-4,0,6,6,3,0,0,1,1,5,+7
T. BradleyT. BradleyC,7,1-1,0-0,0-0,1,2,3,0,0,0,0,0,2,+5
A. DosunmuA. DosunmuSG,23,5-6,0-1,1-4,1,2,3,0,0,2,1,2,11,+16
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,38,12-26,2-6,2-2,0,10,10,4,0,2,1,5,28,+6
L. AldridgeL. AldridgeC,33,10-17,0-2,0-0,2,5,7,0,1,0,0,0,20,+5
P. MillsP. MillsPG,34,5-10,2-5,0-0,0,1,1,1,2,1,2,1,12,+2
J. HardenJ. HardenSG,40,5-21,1-5,3-4,1,6,7,14,1,0,0,2,14,-4
D. BembryD. BembrySG,23,3-6,2-3,0-0,2,5,7,2,1,2,1,2,8,+6
P. MillsapP. MillsapPF,15,6-11,1-1,0-0,5,2,7,2,0,1,0,3,13,-8
B. BrownB. BrownSF,26,2-11,0-1,0-1,5,7,12,2,1,0,1,5,4,-9
J. CarterJ. CarterPG,5,0-0,0-0,0-0,0,0,0,1,0,0,0,1,0,-4
C. ThomasC. ThomasSG,25,3-9,0-2,2-2,0,4,4,2,2,0,0,0,8,-14
