MIA,MIL,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,17,1-3,0-1,0-0,1,0,1,0,0,0,0,3,2,-14
D. DedmonD. DedmonC,24,3-5,2-2,0-0,3,10,13,2,0,1,2,2,8,-20
K. LowryK. LowryPG,28,4-12,1-7,1-3,0,2,2,7,0,1,3,1,10,-20
T. HerroT. HerroPG,33,4-17,1-6,6-8,4,5,9,6,2,0,3,2,15,-22
D. RobinsonD. RobinsonSG,26,4-10,3-7,0-0,0,3,3,3,1,0,1,1,11,-23
C. MartinC. MartinSF,29,6-12,2-6,2-2,0,3,3,3,2,2,2,2,16,-6
K. OkpalaK. OkpalaSF,7,0-2,0-1,0-0,0,0,0,1,0,0,0,0,0,+2
O. YurtsevenO. YurtsevenC,23,0-3,0-0,4-6,0,4,4,2,0,1,1,3,4,-1
G. VincentG. VincentPG,29,4-7,2-4,1-2,0,1,1,5,0,0,1,2,11,-4
M. StrusM. StrusSG,24,8-13,6-9,3-3,1,2,3,0,1,0,1,1,25,-2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. MamukelashviliS. MamukelashviliPF,21,2-6,1-3,0-0,4,3,7,3,0,0,1,1,5,+6
K. MiddletonK. MiddletonSF,30,9-18,3-8,1-1,1,5,6,9,0,0,4,2,22,+14
B. PortisB. PortisC,30,7-13,2-6,3-3,4,12,16,3,2,2,2,2,19,+14
J. HolidayJ. HolidayPG,32,6-14,2-6,2-2,1,4,5,7,0,1,2,2,16,+26
P. ConnaughtonP. ConnaughtonSG,29,8-15,7-13,0-0,2,2,4,1,0,0,0,2,23,+20
T. AntetokounmpoT. AntetokounmpoSF,16,5-7,0-1,0-0,2,2,4,0,0,1,1,3,10,0
J. NworaJ. NworaSF,4,1-2,1-1,0-0,0,0,0,1,0,0,0,0,3,-2
D. CousinsD. CousinsC,11,2-6,0-0,7-8,3,2,5,2,0,0,1,4,11,+13
W. MatthewsW. MatthewsSG,12,1-3,1-3,0-0,0,1,1,0,0,1,1,1,3,+8
R. HoodR. HoodSG,27,1-7,0-5,2-2,0,3,3,2,1,1,0,3,4,+4
J. SmartJ. SmartG,29,2-7,1-4,3-4,2,4,6,4,0,0,2,2,8,+7
