MEM,DAL,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,29,5-11,2-6,1-4,0,5,5,2,0,0,1,5,13,+9
D. BrooksD. BrooksSF,30,5-12,1-4,0-0,1,2,3,3,0,0,3,5,11,+9
S. AdamsS. AdamsC,27,4-7,0-0,3-7,8,5,13,3,1,0,2,2,11,+14
T. JonesT. JonesPG,34,5-9,0-2,6-6,0,6,6,7,2,0,1,1,16,+9
D. BaneD. BaneSG,34,12-20,4-6,1-1,1,8,9,2,1,1,3,2,29,+9
S. AldamaS. AldamaPF,13,1-3,0-1,0-0,0,4,4,0,0,0,1,2,2,-3
K. TillieK. TillieSF,8,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,+4
X. TillmanX. TillmanC,21,1-4,0-1,2-2,0,4,4,2,2,2,4,2,4,-2
J. KoncharJ. KoncharSG,18,0-0,0-0,0-0,0,5,5,1,0,0,0,1,0,-6
D. MeltonD. MeltonSG,26,4-10,2-6,1-4,0,3,3,0,4,2,6,2,11,-8
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,37,5-12,4-6,0-0,3,3,6,4,3,1,1,5,14,-1
M. KleberM. KleberPF,33,2-8,2-8,1-2,2,7,9,0,1,0,1,1,7,-13
R. BullockR. BullockSF,27,2-9,1-7,0-0,0,3,3,0,0,0,2,0,5,-15
D. PowellD. PowellC,24,2-5,0-2,1-1,2,2,4,5,0,0,0,3,5,-5
J. BrunsonJ. BrunsonPG,37,7-21,0-2,1-2,3,0,3,8,1,0,3,4,15,-6
T. Hardaway Jr.T. Hardaway Jr.SF,31,7-18,5-9,10-14,2,5,7,0,2,0,1,2,29,+7
S. BrownS. BrownSF,15,1-3,0-1,0-0,1,1,2,1,1,0,1,2,2,-3
B. MarjanovicB. MarjanovicC,11,1-5,0-1,0-0,1,6,7,0,0,0,2,1,2,+3
T. BurkeT. BurkePG,13,3-9,2-5,0-0,0,0,0,1,0,0,1,3,8,0
F. NtilikinaF. NtilikinaPG,13,1-2,1-2,0-0,0,1,1,0,2,0,1,0,3,-2
