LAC,SAC,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,32,7-10,4-6,3-5,0,8,8,2,0,0,2,2,21,+2
S. IbakaS. IbakaC,13,1-4,0-2,0-0,1,0,1,1,0,0,0,0,2,-2
I. ZubacI. ZubacC,29,4-6,0-0,4-5,3,8,11,1,1,2,2,4,12,+6
R. JacksonR. JacksonPG,32,7-19,3-8,1-3,0,2,2,1,0,0,4,5,18,+1
P. GeorgeP. GeorgeSG,38,5-21,3-7,2-2,0,6,6,10,2,0,5,4,15,-2
I. HartensteinI. HartensteinC,14,2-3,0-0,0-2,0,5,5,0,1,1,1,2,4,-7
E. BledsoeE. BledsoeSG,18,0-7,0-2,0-0,1,2,3,7,1,0,0,0,0,-4
T. MannT. MannSG,25,3-7,1-3,2-4,3,2,5,0,0,0,1,2,9,-7
L. KennardL. KennardSG,27,4-10,2-6,2-2,1,4,5,1,2,0,1,2,12,-5
B. Boston Jr.B. Boston Jr.SG,13,1-2,0-0,4-4,0,1,1,0,0,0,1,3,6,-7
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MetuC. MetuPF,23,2-4,1-2,0-0,0,4,4,1,1,5,1,1,5,-1
R. HolmesR. HolmesC,27,0-3,0-0,1-2,2,4,6,3,0,1,0,4,1,+3
D. FoxD. FoxPG,37,8-22,0-4,1-4,0,8,8,5,2,0,1,2,17,0
T. HaliburtonT. HaliburtonPG,37,7-14,4-8,0-0,2,4,6,5,2,1,5,4,18,+6
T. DavisT. DavisSG,29,9-16,6-11,4-4,0,4,4,0,1,0,2,3,28,+3
M. Bagley IIIM. Bagley IIIPF,20,4-6,0-1,4-4,4,7,11,0,0,0,1,1,12,+9
T. ThompsonT. ThompsonC,9,2-2,0-0,4-4,2,1,3,0,0,0,1,1,8,+5
A. LenA. LenC,12,1-6,0-1,1-2,1,3,4,0,0,0,1,3,3,-3
D. MitchellD. MitchellPG,28,1-7,0-2,0-0,0,2,2,3,0,0,1,3,2,-1
B. HieldB. HieldSG,20,2-6,1-5,5-5,0,3,3,2,2,1,2,3,10,+4
