WSH,TOR,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,30,4-11,1-5,0-0,0,7,7,4,1,1,0,2,9,+5
D. GaffordD. GaffordC,15,1-4,0-0,2-2,1,5,6,0,0,2,2,5,4,-8
S. DinwiddieS. DinwiddiePG,31,3-11,0-1,3-4,1,3,4,2,1,0,1,3,9,-5
B. BealB. BealSG,35,4-12,1-3,5-7,0,1,1,7,0,0,0,0,14,0
K. Caldwell-PopeK. Caldwell-PopeSG,28,8-9,4-4,6-6,0,2,2,2,1,0,2,4,26,+3
A. GillA. GillPF,4,1-1,0-0,3-4,0,3,3,0,0,0,0,0,5,+4
I. ToddI. ToddPF,4,0-1,0-0,0-0,1,0,1,0,1,0,1,1,0,+2
D. BertansD. BertansSF,14,1-7,0-6,0-0,0,1,1,0,0,1,0,2,2,-19
C. KispertC. KispertSF,4,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0,+2
D. AvdijaD. AvdijaSF,16,0-1,0-1,0-0,0,1,1,1,0,0,0,2,0,-17
M. HarrellM. HarrellC,29,3-6,0-0,0-2,3,11,14,2,0,1,2,3,6,-8
R. NetoR. NetoPG,13,3-6,2-3,1-2,0,2,2,1,0,0,1,0,9,-9
A. HolidayA. HolidayPG,9,2-2,0-0,0-0,0,0,0,0,0,0,0,0,4,-14
C. WinstonC. WinstonPG,4,0-1,0-1,2-2,0,0,0,0,0,0,1,0,2,+2
J. AyayiJ. AyayiG,4,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,36,10-21,1-1,10-12,1,5,6,3,0,0,1,3,31,+4
P. AchiuwaP. AchiuwaPF,31,5-10,0-1,0-0,4,10,14,2,1,0,2,2,10,-3
S. BarnesS. BarnesSF,37,5-10,0-2,1-2,1,5,6,1,0,1,1,5,11,+11
F. VanVleetF. VanVleetSG,33,4-12,2-6,0-0,0,0,0,4,0,0,4,5,10,-4
G. Trent Jr.G. Trent Jr.SG,30,2-8,2-5,0-0,0,4,4,3,1,0,0,2,6,-5
C. BoucherC. BoucherPF,18,5-7,0-1,4-6,1,5,6,1,0,0,0,4,14,+12
Y. WatanabeY. WatanabeSF,17,3-6,1-2,0-0,0,2,2,1,0,0,0,0,7,+16
J. ChampagnieJ. ChampagnieSF,2,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+1
M. FlynnM. FlynnPG,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+1
D. BantonD. BantonPG,15,2-6,1-2,0-0,0,3,3,6,1,0,0,2,5,+13
D. JohnsonD. JohnsonPG,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,+1
S. MykhailiukS. MykhailiukSG,16,1-3,1-2,2-2,2,2,4,1,0,0,0,0,5,+12
I. BongaI. BongaG,2,0-0,0-0,1-2,1,0,1,0,0,0,0,1,1,+1
