PHI,CHA,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,41,7-18,2-5,5-7,2,9,11,4,1,2,1,1,21,+13
D. GreenD. GreenSF,30,3-7,3-7,0-0,0,4,4,3,0,2,3,0,9,-2
J. EmbiidJ. EmbiidC,41,15-20,1-2,12-14,1,14,15,7,1,0,3,3,43,+7
S. CurryS. CurrySG,41,3-11,0-6,0-1,2,2,4,2,1,1,4,2,6,+4
S. MiltonS. MiltonSG,35,6-8,4-6,0-0,0,4,4,2,0,1,1,3,16,+9
G. NiangG. NiangSF,17,2-4,2-2,1-1,0,1,1,2,0,1,0,1,7,-4
A. DrummondA. DrummondC,12,3-5,0-0,0-2,2,1,3,2,1,2,1,3,6,-4
M. ThybulleM. ThybulleSG,20,1-1,0-0,0-0,1,1,2,2,1,0,0,3,2,+1
F. KorkmazF. KorkmazSG,17,3-9,0-4,2-2,0,4,4,3,0,0,0,1,8,-8
I. JoeI. JoeSG,12,3-4,3-4,0-0,0,1,1,1,1,0,2,2,9,-1
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,44,5-19,1-8,1-1,1,4,5,9,1,1,0,3,12,+9
C. MartinC. MartinSF,42,6-13,2-3,0-1,2,4,6,4,0,0,4,2,14,-13
M. BridgesM. BridgesSF,43,6-16,1-6,3-4,1,5,6,6,0,0,2,4,16,-9
N. RichardsN. RichardsC,18,5-5,0-0,2-2,3,2,5,2,0,0,0,1,12,-8
K. Oubre Jr.K. Oubre Jr.SG,43,13-24,6-13,3-4,1,4,5,3,4,1,1,0,35,-1
P.J. WashingtonP.J. WashingtonPF,32,6-17,4-11,0-1,1,7,8,4,1,3,0,4,16,+3
J. ThorJ. ThorPF,20,3-5,1-3,1-2,0,2,2,2,0,1,0,1,8,+7
J. BouknightJ. BouknightSG,22,4-8,1-2,2-2,4,1,5,1,0,0,1,3,11,-3
