OKC,DET,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,29,3-5,0-1,1-2,1,7,8,0,2,3,1,1,7,+1
J. Robinson-EarlJ. Robinson-EarlPF,18,1-5,0-2,0-0,2,6,8,0,0,0,1,0,2,-11
L. DortL. DortSF,37,9-19,5-10,5-5,0,2,2,0,2,2,1,3,28,+5
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,37,9-20,0-2,12-15,0,2,2,13,0,2,3,3,30,+6
J. GiddeyJ. GiddeySG,30,5-6,0-1,2-2,0,0,0,5,1,0,4,2,12,+2
K. WilliamsK. WilliamsSF,27,5-8,1-1,1-2,0,3,3,3,4,2,0,2,12,+22
D. FavorsD. FavorsC,17,3-4,0-0,0-0,1,4,5,1,0,1,0,0,6,+9
M. MuscalaM. MuscalaC,16,3-6,2-5,0-0,1,2,3,0,1,0,0,1,8,+8
A. PokusevskiA. PokusevskiC,12,1-4,0-1,0-2,1,5,6,0,0,1,1,0,2,+4
T. MannT. MannPG,13,2-4,1-1,2-2,0,3,3,0,0,0,0,1,7,+7
T. JeromeT. JeromeSG,4,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,+2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,35,9-16,1-4,1-1,1,5,6,5,0,2,3,1,20,-7
S. BeyS. BeySF,40,5-16,3-8,2-2,2,5,7,2,2,0,0,2,15,-2
I. StewartI. StewartC,29,2-3,0-0,0-0,3,6,9,1,1,3,1,3,4,-4
C. CunninghamC. CunninghamPG,36,11-24,6-11,0-0,3,8,11,5,1,0,6,3,28,-7
K. HayesK. HayesPG,27,3-9,2-7,1-1,0,2,2,5,1,1,3,4,9,-7
T. LylesT. LylesPF,14,2-7,1-2,0-0,3,3,6,0,0,0,0,2,5,-3
L. GarzaL. GarzaC,4,1-4,0-0,0-0,3,1,4,0,0,0,0,2,2,-4
F. JacksonF. JacksonPG,18,2-6,0-1,0-0,1,0,1,0,0,0,2,2,4,-10
S. LeeS. LeePG,21,3-9,2-6,1-2,0,3,3,3,2,1,1,2,9,-4
J. JacksonJ. JacksonSG,14,3-5,1-2,0-0,0,3,3,0,1,0,0,5,7,-7
