SA,PHX,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,26,5-9,3-5,1-1,0,2,2,2,0,0,1,1,14,-9
K. JohnsonK. JohnsonSF,31,4-10,1-3,4-6,1,5,6,0,1,0,2,2,13,-8
J. PoeltlJ. PoeltlC,32,7-11,0-0,0-0,3,8,11,2,0,1,3,3,14,-13
D. WhiteD. WhitePG,26,4-12,1-8,3-5,1,2,3,4,0,1,0,2,12,-17
D. MurrayD. MurrayPG,34,7-12,2-2,1-2,1,5,6,14,2,0,4,2,17,-10
T. YoungT. YoungPF,8,1-4,0-1,0-0,0,1,1,2,1,0,1,2,2,0
D. EubanksD. EubanksPF,8,1-3,0-0,2-2,1,3,4,0,0,0,1,2,4,+9
T. JonesT. JonesPG,14,1-8,0-1,0-0,2,0,2,3,4,0,1,1,2,+6
B. ForbesB. ForbesSG,24,6-13,1-2,2-3,0,3,3,1,0,0,1,1,15,+15
L. Walker IVL. Walker IVSG,20,2-6,2-4,0-0,0,1,1,3,1,0,1,1,6,-1
J. PrimoJ. PrimoSG,18,2-5,1-3,0-0,0,2,2,0,3,4,0,1,5,+8
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,31,7-14,4-10,1-2,2,4,6,0,1,1,2,4,19,+13
M. BridgesM. BridgesSF,37,3-6,0-0,0-0,3,6,9,3,1,0,1,1,6,+8
D. AytonD. AytonC,35,7-13,0-0,0-0,3,6,9,4,0,1,5,1,14,+6
C. PaulC. PaulPG,35,9-18,2-5,1-3,0,3,3,10,1,1,3,3,21,+4
L. ShametL. ShametSG,25,2-9,1-3,6-7,0,3,3,3,0,0,1,2,11,-3
I. WainrightI. WainrightF,6,0-2,0-1,0-0,2,1,3,0,0,0,1,1,0,-1
C. JohnsonC. JohnsonSF,29,5-14,2-7,1-1,0,3,3,3,2,1,2,4,13,+2
J. McGeeJ. McGeeC,13,5-7,0-0,3-5,4,3,7,0,0,0,1,1,13,0
E. PaytonE. PaytonPG,13,2-5,0-0,0-0,1,2,3,0,0,0,0,1,4,0
C. PayneC. PaynePG,17,3-6,1-3,0-0,0,3,3,4,1,0,1,2,7,-9
