LAC,POR,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,31,7-15,3-8,0-0,0,2,2,4,2,0,2,1,17,+12
I. ZubacI. ZubacC,28,1-2,0-0,3-6,2,4,6,0,1,3,1,3,5,+8
R. JacksonR. JacksonPG,32,7-19,2-10,0-0,1,5,6,6,0,0,0,2,16,+20
P. GeorgeP. GeorgeSG,39,9-18,0-3,3-5,0,8,8,4,4,0,4,2,21,+11
L. KennardL. KennardSG,36,5-11,3-6,2-2,1,5,6,0,0,0,1,3,15,+12
S. IbakaS. IbakaC,7,0-1,0-0,0-0,1,0,1,1,0,0,0,2,0,+2
I. HartensteinI. HartensteinC,13,2-3,0-0,1-1,0,0,0,1,0,4,0,6,5,+2
E. BledsoeE. BledsoeSG,16,2-4,0-2,0-0,1,0,1,1,1,0,2,0,4,-8
T. MannT. MannSG,18,3-8,0-1,0-0,1,5,6,1,0,0,0,2,6,+3
B. Boston Jr.B. Boston Jr.SG,20,5-11,3-6,0-0,0,1,1,0,0,0,3,0,13,-2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,30,1-8,0-5,0-0,1,9,10,1,3,2,1,3,2,-23
T. SnellT. SnellSF,32,2-4,0-2,0-0,0,4,4,3,1,0,1,1,4,-8
N. PowellN. PowellSF,44,10-24,2-8,7-8,0,5,5,1,0,0,3,3,29,-10
J. NurkicJ. NurkicC,30,12-19,1-2,6-10,0,5,5,1,0,1,3,5,31,-9
D. Smith Jr.D. Smith Jr.PG,39,6-11,1-1,0-0,2,4,6,7,1,1,7,1,13,-10
L. Nance Jr.L. Nance Jr.PF,32,1-3,0-2,2-2,0,5,5,0,1,0,0,0,4,-2
C. ZellerC. ZellerC,16,2-7,0-0,0-0,4,5,9,1,0,2,1,2,4,0
B. McLemoreB. McLemoreSG,8,0-2,0-1,0-0,0,0,0,1,0,0,0,1,0,+4
C. EllebyC. EllebySG,9,1-1,1-1,0-0,0,1,1,1,0,0,2,3,3,-2
