NY,IND,2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,31,6-18,2-6,4-4,1,7,8,2,2,1,5,3,18,-22
T. GibsonT. GibsonC,18,0-1,0-0,0-0,2,2,4,0,0,0,1,2,0,-9
A. BurksA. BurksSG,30,5-11,0-3,5-6,1,1,2,0,1,1,1,1,15,-16
E. FournierE. FournierSG,22,2-6,1-3,2-2,0,4,4,1,0,1,1,4,7,-15
R. BarrettR. BarrettSG,35,5-12,3-5,6-7,2,0,2,3,0,0,3,3,19,-25
J. SimsJ. SimsPF,4,0-0,0-0,0-0,1,0,1,1,0,1,0,0,0,+5
O. ToppinO. ToppinPF,20,6-9,1-3,0-0,1,1,2,0,0,1,0,1,13,-13
K. Knox IIK. Knox IIF,4,0-2,0-1,0-0,0,0,0,0,0,0,0,0,0,+5
M. RobinsonM. RobinsonC,19,1-1,0-0,2-2,1,1,2,0,0,2,0,3,4,-6
D. RoseD. RosePG,24,4-10,0-2,0-0,2,3,5,7,0,0,0,0,8,-9
M. McBrideM. McBridePG,4,1-2,0-0,2-2,0,1,1,1,1,0,0,0,4,+5
I. QuickleyI. QuickleySG,26,5-12,1-5,0-0,0,4,4,2,2,0,2,3,11,-5
Q. GrimesQ. GrimesSG,4,1-2,1-2,0-0,0,1,1,0,0,1,0,0,3,+5
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,33,7-8,2-2,5-7,5,6,11,5,0,1,0,2,21,+22
M. TurnerM. TurnerC,32,8-13,3-7,3-4,0,4,4,0,1,2,1,2,22,+26
M. BrogdonM. BrogdonPG,33,5-11,1-3,5-6,0,4,4,5,3,0,1,3,16,+24
C. LeVertC. LeVertSG,28,6-12,1-2,2-2,0,3,3,6,2,0,4,2,15,+20
C. DuarteC. DuarteSG,30,9-11,2-2,3-4,0,3,3,6,1,0,1,2,23,+23
I. JacksonI. JacksonF,3,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-7
T. CraigT. CraigSF,4,0-2,0-2,0-0,0,2,2,1,0,0,0,0,0,-5
O. BrissettO. BrissettSF,20,2-8,1-5,0-0,2,4,6,1,0,0,0,1,5,+7
G. BitadzeG. BitadzeC,4,1-1,0-0,0-0,2,1,3,0,0,0,1,1,2,-5
B. WanamakerB. WanamakerPG,18,3-7,0-0,0-0,0,3,3,1,0,1,0,4,6,-6
D. Washington Jr.D. Washington Jr.PG,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-7
J. LambJ. LambSG,15,1-4,0-2,2-2,0,2,2,1,0,0,1,1,4,0
K. MartinK. MartinSG,17,4-7,0-1,0-0,0,1,1,1,1,0,0,1,8,+8
