BKN,HOU,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. JohnsonJ. JohnsonPF,19,2-6,0-1,0-0,0,4,4,4,0,0,1,2,4,-4
N. ClaxtonN. ClaxtonPF,16,3-6,0-0,2-3,1,3,4,0,0,1,0,2,8,-8
P. MillsP. MillsPG,31,3-11,3-9,3-4,1,0,1,1,0,1,0,1,12,+3
J. HardenJ. HardenSG,39,4-16,3-12,14-16,0,11,11,8,2,0,8,3,25,-5
D. BembryD. BembrySG,19,2-5,0-0,1-2,2,1,3,0,0,1,1,2,5,-3
P. MillsapP. MillsapPF,19,5-11,0-1,0-0,3,3,6,3,1,0,1,4,10,-2
B. GriffinB. GriffinPF,13,3-4,0-0,1-1,0,3,3,0,0,0,0,3,7,-2
B. BrownB. BrownSF,20,2-5,0-0,2-2,4,2,6,1,3,0,1,3,6,-4
D. Duke Jr.D. Duke Jr.SF,22,4-9,1-4,0-0,2,1,3,1,0,0,0,3,9,+2
J. CarterJ. CarterPG,9,0-1,0-1,0-0,0,1,1,0,0,0,1,0,0,-5
C. ThomasC. ThomasSG,32,7-15,1-5,3-3,1,1,2,0,1,0,0,0,18,-22
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,27,3-8,0-2,4-9,1,1,2,5,1,1,2,5,10,+7
C. WoodC. WoodC,34,5-16,1-6,1-2,3,12,15,3,1,3,1,3,12,+6
E. GordonE. GordonSG,28,8-12,2-4,3-3,1,1,2,2,0,1,4,2,21,-6
G. MathewsG. MathewsSG,39,5-13,3-11,6-7,0,2,2,0,3,1,0,4,19,+9
A. BrooksA. BrooksSG,29,5-10,3-8,1-1,0,5,5,4,1,1,3,2,14,+10
K. Martin Jr.K. Martin Jr.F,21,2-5,0-2,2-4,1,1,2,2,0,1,0,1,6,+3
D. NwabaD. NwabaSF,5,0-1,0-1,0-0,1,1,2,0,0,0,0,1,0,+3
A. SengunA. SengunC,14,2-5,0-1,2-2,1,1,2,1,0,0,0,2,6,+4
D.J. AugustinD.J. AugustinPG,20,3-4,1-2,1-1,0,4,4,4,1,0,2,0,8,+16
J. ChristopherJ. ChristopherSG,23,7-7,4-4,0-0,1,1,2,2,2,1,1,3,18,-2
