UTAH,MIN,2
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,29,3-3,2-2,1-2,2,4,6,7,3,1,1,2,9,+8
B. BogdanovicB. BogdanovicSF,28,8-14,4-9,1-1,0,5,5,0,0,0,0,4,21,-6
R. GobertR. GobertC,31,4-4,0-0,5-7,2,8,10,0,0,1,0,4,13,+25
M. ConleyM. ConleyPG,24,4-8,2-4,0-0,0,2,2,5,1,0,2,2,10,+6
D. MitchellD. MitchellSG,34,14-23,5-12,3-3,1,4,5,2,0,1,4,2,36,+18
E. PaschallE. PaschallPF,4,1-2,1-2,0-0,0,1,1,0,0,0,1,0,3,+9
M. FittsM. FittsF,3,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0,+3
R. GayR. GaySF,23,3-11,1-7,0-0,1,5,6,0,2,0,2,3,7,+18
J. ClarksonJ. ClarksonPG,24,6-14,6-13,0-0,0,3,3,1,0,1,1,1,18,+23
J. InglesJ. InglesSG,25,4-4,2-2,1-2,0,4,4,7,0,0,1,0,11,+32
T. ForrestT. ForrestSG,9,1-1,0-0,0-0,0,1,1,3,0,0,0,0,2,+18
M. OniM. OniSG,3,0-0,0-0,0-0,0,0,0,1,0,0,0,1,0,+3
J. ButlerJ. ButlerSG,3,2-3,2-3,0-0,0,4,4,0,0,0,1,1,6,+3
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. PrinceT. PrincePF,20,3-9,3-6,0-0,0,5,5,1,0,0,1,1,9,-2
J. VanderbiltJ. VanderbiltPF,27,2-4,0-0,0-0,2,2,4,1,3,0,1,2,4,-4
A. EdwardsA. EdwardsSF,34,7-16,4-8,0-2,0,2,2,5,1,0,1,3,18,-18
K. TownsK. TownsC,34,7-11,2-4,6-8,2,5,7,5,0,1,4,3,22,-15
P. BeverleyP. BeverleyPG,23,8-11,0-2,0-1,0,2,2,2,0,0,1,2,16,-1
J. McDanielsJ. McDanielsPF,23,2-10,1-7,0-0,0,3,3,1,2,1,0,1,5,-22
N. KnightN. KnightF,4,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-9
J. LaymanJ. LaymanSF,4,0-1,0-1,0-0,0,1,1,0,0,0,0,0,0,-9
J. OkogieJ. OkogieSF,6,2-3,2-2,0-0,1,1,2,0,0,0,1,1,6,-6
N. ReidN. ReidC,14,2-11,1-4,3-4,3,1,4,1,1,1,1,1,8,-17
J. McLaughlinJ. McLaughlinPG,10,0-3,0-1,2-2,0,1,1,0,1,0,1,0,2,-18
M. BeasleyM. BeasleySG,26,5-12,4-9,0-0,0,4,4,2,0,0,3,3,14,-29
L. BolmaroL. BolmaroSG,14,0-3,0-2,0-0,1,1,2,1,1,0,1,0,0,-10
