DEN,NO,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,36,4-6,0-1,0-0,0,4,4,2,0,1,0,5,8,+5
A. GordonA. GordonPF,43,3-7,1-4,3-4,2,0,2,1,2,1,0,3,10,+6
W. BartonW. BartonSF,42,7-18,4-7,2-2,0,3,3,6,1,1,3,2,20,+13
N. JokicN. JokicC,37,17-23,0-3,5-9,1,10,11,11,1,0,6,2,39,+4
M. MorrisM. MorrisPG,36,3-10,2-6,3-3,0,4,4,2,3,0,0,0,11,+5
Ja. GreenJa. GreenPF,16,3-6,1-3,3-4,2,3,5,1,2,1,0,1,10,+2
Z. NnajiZ. NnajiPF,8,0-0,0-0,0-0,0,0,0,1,0,0,0,2,0,-8
F. CampazzoF. CampazzoPG,22,4-9,1-6,0-0,0,1,1,4,1,0,0,2,9,-2
B. HylandB. HylandPG,16,2-6,0-2,5-5,0,1,1,0,1,0,1,0,9,+2
D. ReedD. ReedSG,9,2-3,0-0,0-0,0,2,2,0,1,0,1,2,4,+3
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,43,6-12,1-4,3-3,0,8,8,5,4,0,6,5,16,-6
H. JonesH. JonesSF,39,8-11,2-2,1-2,1,6,7,3,1,2,2,1,19,-7
J. ValanciunasJ. ValanciunasC,39,12-21,1-2,2-3,5,6,11,3,0,3,3,4,27,-4
D. GrahamD. GrahamPG,38,4-13,4-12,0-0,0,3,3,5,1,0,1,0,12,-3
J. HartJ. HartSG,42,5-11,1-3,1-1,2,6,8,8,0,0,6,6,12,-7
G. TempleG. TempleSF,11,0-4,0-3,0-0,0,1,1,2,0,0,0,0,0,0
HernangómezHernangómez C,14,3-3,0-0,0-0,1,3,4,1,0,0,2,1,6,-2
K. Lewis Jr.K. Lewis Jr.PG,9,2-4,0-1,1-1,0,0,0,3,1,0,1,0,5,-2
T. SatoranskyT. SatoranskySG,6,1-1,0-0,0-0,0,0,0,0,0,0,1,1,2,-1
N. Alexander-WalkerN. Alexander-WalkerSG,23,6-10,2-3,1-2,1,3,4,2,1,0,0,4,15,+2
