NY,TOR,2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,37,4-9,1-4,4-5,3,11,14,5,1,0,3,1,13,-10
N. NoelN. NoelC,13,3-4,0-0,0-1,1,1,2,0,0,0,0,0,6,-12
A. BurksA. BurksSG,37,0-7,0-3,1-2,0,5,5,5,2,0,2,4,1,-1
E. FournierE. FournierSG,24,3-8,3-7,0-0,1,1,2,0,1,0,2,1,9,-12
R. BarrettR. BarrettSG,30,5-16,2-7,7-8,3,3,6,1,0,0,0,1,19,-9
O. ToppinO. ToppinPF,24,6-14,1-5,6-6,2,8,10,1,0,0,2,3,19,+6
M. RobinsonM. RobinsonC,18,1-3,0-0,2-2,2,6,8,0,0,2,1,3,4,+6
D. RoseD. RosePG,33,5-13,1-3,0-0,2,4,6,4,0,0,3,0,11,+8
I. QuickleyI. QuickleySG,24,2-7,1-5,0-0,0,2,2,2,0,0,0,4,5,+9
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,39,3-18,0-3,7-8,1,11,12,4,0,1,1,3,13,+3
C. BoucherC. BoucherPF,28,5-11,1-3,3-4,5,3,8,0,0,1,1,5,14,+5
S. BarnesS. BarnesSF,41,6-12,0-1,0-0,4,11,15,3,2,2,1,4,12,+14
F. VanVleetF. VanVleetSG,38,4-13,4-11,5-5,2,4,6,11,3,1,3,2,17,+13
G. Trent Jr.G. Trent Jr.SG,39,9-16,5-7,1-2,0,1,1,1,3,0,2,1,24,+4
Y. WatanabeY. WatanabeSF,17,1-6,1-5,1-2,0,4,4,0,1,1,0,1,4,-6
J. ChampagnieJ. ChampagnieSF,8,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+8
M. FlynnM. FlynnPG,5,0-2,0-1,1-2,0,0,0,1,0,0,0,2,1,-2
D. BantonD. BantonPG,7,0-2,0-0,0-0,0,0,0,1,0,0,0,1,0,-17
S. MykhailiukS. MykhailiukSG,16,2-7,1-4,0-0,0,2,2,0,0,1,0,0,5,-7
