MIL,HOU,2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,37,15-20,1-3,10-14,6,11,17,5,3,2,5,5,41,+4
K. MiddletonK. MiddletonSF,36,6-18,5-11,4-5,1,7,8,5,1,0,3,1,21,+20
B. PortisB. PortisC,33,7-15,3-7,4-6,2,5,7,1,2,3,2,2,21,+4
J. HolidayJ. HolidayPG,35,3-8,0-2,6-6,1,2,3,7,1,1,2,4,12,+10
G. AllenG. AllenSG,28,3-8,2-7,0-1,1,2,3,0,1,0,2,0,8,0
D. CousinsD. CousinsC,4,0-0,0-0,0-0,0,0,0,1,0,0,1,4,0,+2
W. MatthewsW. MatthewsSG,18,1-3,0-2,0-0,0,2,2,0,0,0,0,2,2,+11
P. ConnaughtonP. ConnaughtonSG,31,6-8,4-5,0-0,2,4,6,0,3,2,0,2,16,+14
R. HoodR. HoodSG,12,1-2,0-1,0-0,0,2,2,0,0,0,0,1,2,-12
J. SmartJ. SmartG,6,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-8
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,33,2-7,1-2,1-2,0,2,2,9,1,0,1,5,6,-2
C. WoodC. WoodC,32,9-19,3-7,0-0,3,10,13,1,0,0,5,5,21,-20
E. GordonE. GordonSG,33,5-12,3-7,1-3,1,0,1,6,1,0,2,3,14,-18
G. MathewsG. MathewsSG,39,7-13,6-11,3-5,2,2,4,0,2,2,1,3,23,-3
A. BrooksA. BrooksSG,34,7-17,4-13,3-4,0,5,5,3,0,1,0,4,21,-16
K. Martin Jr.K. Martin Jr.F,15,1-1,0-0,0-0,0,3,3,3,0,0,0,1,2,-6
D. NwabaD. NwabaSF,7,1-3,0-1,0-0,1,2,3,0,1,1,0,2,2,+4
A. SengunA. SengunC,16,6-8,0-0,3-6,2,3,5,0,1,0,1,4,15,+11
D.J. AugustinD.J. AugustinPG,18,1-3,1-2,0-0,1,0,1,8,0,0,3,1,3,+4
J. ChristopherJ. ChristopherSG,13,3-6,1-3,0-0,2,1,3,0,3,0,3,0,7,+1
