DET,NO,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,28,5-14,1-6,0-0,1,4,5,2,0,4,3,4,11,-13
S. BeyS. BeySF,29,3-12,3-6,2-2,1,3,4,0,2,0,0,2,11,-17
I. StewartI. StewartC,21,2-4,0-1,0-0,1,4,5,1,0,1,0,2,4,-21
C. CunninghamC. CunninghamPG,31,5-17,2-7,4-5,0,1,1,4,3,0,2,2,16,-13
K. HayesK. HayesPG,28,3-9,1-3,0-0,0,4,4,6,0,0,0,3,7,-19
T. LylesT. LylesPF,26,7-8,2-2,2-2,1,4,5,0,0,0,1,1,18,-2
L. GarzaL. GarzaC,3,1-2,1-1,0-0,0,0,0,0,0,0,2,0,3,+8
C. JosephC. JosephPG,13,1-3,0-1,0-0,0,1,1,2,1,0,2,0,2,-6
F. JacksonF. JacksonPG,21,3-9,2-5,0-0,0,2,2,3,0,0,2,1,8,-1
S. LeeS. LeePG,9,1-2,0-1,0-0,1,2,3,2,0,0,0,0,2,+9
J. JacksonJ. JacksonSG,15,0-1,0-0,0-0,0,1,1,0,1,0,0,0,0,-3
H. DialloH. DialloSG,16,4-9,0-4,3-3,2,5,7,2,0,1,0,0,11,-2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,34,9-19,4-8,4-4,0,3,3,5,0,2,0,0,26,+28
H. JonesH. JonesSF,30,3-9,1-3,3-4,0,5,5,4,0,1,0,3,10,+21
J. ValanciunasJ. ValanciunasC,27,7-12,0-0,3-4,4,7,11,3,0,0,2,2,17,+23
D. GrahamD. GrahamPG,26,3-10,3-8,0-0,0,4,4,4,0,0,0,0,9,+21
J. HartJ. HartSG,32,5-5,0-0,4-4,4,9,13,5,1,0,4,4,14,+12
G. ClarkG. ClarkF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-8
G. TempleG. TempleSF,19,3-6,3-4,0-0,3,4,7,1,2,1,1,1,9,+7
N. MarshallN. MarshallSF,3,0-2,0-1,0-0,1,0,1,0,0,0,1,0,0,-8
HernangómezHernangómez C,18,3-5,0-0,0-0,1,6,7,0,0,0,1,1,6,+1
J. HayesJ. HayesC,3,0-2,0-0,0-0,1,1,2,0,0,0,1,2,0,-8
J. AlvaradoJ. AlvaradoPG,3,0-0,0-0,0-0,0,0,0,0,1,0,1,0,0,-8
T. SatoranskyT. SatoranskySG,20,2-6,0-4,0-0,0,4,4,3,0,0,2,1,4,+3
N. Alexander-WalkerN. Alexander-WalkerSG,22,6-18,2-8,0-0,1,2,3,4,2,0,1,2,14,+4
T. Murphy IIIT. Murphy IIISG,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-8
