BOS,PHX,2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,34,10-25,1-7,3-6,2,5,7,3,0,1,4,2,24,-9
A. HorfordA. HorfordC,30,2-8,0-4,5-6,0,4,4,3,1,1,0,1,9,-19
R. Williams IIIR. Williams IIIC,22,4-5,0-0,2-2,3,2,5,1,0,2,0,2,10,-16
M. SmartM. SmartPG,31,1-13,0-5,2-4,0,2,2,0,2,0,0,1,4,-12
SchröderSchröder PG,33,7-15,0-2,1-1,0,3,3,3,0,0,3,3,15,-21
J. ParkerJ. ParkerPF,5,1-3,0-0,2-2,1,2,3,0,0,0,0,0,4,+1
G. WilliamsG. WilliamsPF,25,2-3,2-3,1-2,0,3,3,0,2,0,1,4,7,-5
HernangómezHernangómez F,5,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+1
A. NesmithA. NesmithSF,13,1-4,0-2,0-1,1,3,4,0,2,1,3,2,2,-8
E. FreedomE. FreedomC,8,3-5,0-0,0-0,4,1,5,0,0,0,1,0,6,+4
P. PritchardP. PritchardPG,12,1-5,1-2,0-0,1,1,2,3,0,0,0,0,3,-6
R. LangfordR. LangfordSG,23,3-7,0-1,0-0,3,4,7,0,0,1,1,2,6,-15
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,31,6-10,4-8,0-0,0,9,9,2,1,1,2,1,16,+18
M. BridgesM. BridgesSF,35,5-9,2-2,2-2,3,0,3,1,0,1,1,3,14,+15
J. McGeeJ. McGeeC,26,9-16,1-2,2-2,7,8,15,2,0,2,0,2,21,+18
C. PaulC. PaulPG,30,4-9,0-2,2-2,1,2,3,12,1,2,1,4,10,+20
L. ShametL. ShametSG,26,4-11,1-4,1-1,0,2,2,1,0,0,1,2,10,+15
J. SmithJ. SmithPF,22,3-8,1-6,0-0,2,7,9,1,1,2,1,3,7,+3
I. WainrightI. WainrightF,6,0-4,0-2,0-0,0,0,0,0,0,0,1,2,0,-2
C. JohnsonC. JohnsonSF,31,5-9,4-7,2-2,0,6,6,0,1,0,1,1,16,+12
C. HutchisonC. HutchisonSF,2,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0,-3
E. PaytonE. PaytonPG,10,0-3,0-1,0-0,0,1,1,1,0,1,0,0,0,+3
C. PayneC. PaynePG,22,7-16,1-4,2-2,1,3,4,5,0,0,4,3,17,+6
