UTAH,WSH,2
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,27,1-3,1-2,0-0,0,3,3,2,0,0,0,1,3,+11
B. BogdanovicB. BogdanovicSF,27,6-12,2-4,2-2,2,2,4,1,0,0,2,1,16,+8
R. GobertR. GobertC,28,9-10,0-0,2-2,4,7,11,0,0,1,0,3,20,+14
M. ConleyM. ConleyPG,26,4-11,1-6,2-3,0,4,4,8,1,0,1,2,11,+10
D. MitchellD. MitchellSG,32,10-20,4-9,4-4,0,0,0,4,2,0,3,2,28,+16
E. PaschallE. PaschallPF,3,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,+5
R. GayR. GaySF,18,1-6,1-5,0-0,0,3,3,0,0,0,0,1,3,+12
H. WhitesideH. WhitesideC,20,8-9,0-0,2-3,4,10,14,0,0,4,1,2,18,+11
J. ClarksonJ. ClarksonPG,25,5-11,0-4,1-1,1,2,3,5,1,0,0,0,11,+9
J. InglesJ. InglesSG,22,1-6,1-5,1-2,0,4,4,3,0,0,0,1,4,+12
T. ForrestT. ForrestSG,7,1-2,1-1,0-0,1,2,3,2,1,0,1,1,3,+7
M. OniM. OniSG,3,1-2,1-2,0-0,0,0,0,1,0,0,0,0,3,+5
J. ButlerJ. ButlerSG,3,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,+5
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. AvdijaD. AvdijaSF,23,2-6,0-2,0-0,1,5,6,1,0,2,0,1,4,-11
D. GaffordD. GaffordC,23,6-6,0-0,2-2,4,7,11,0,0,0,2,2,14,-6
S. DinwiddieS. DinwiddiePG,24,5-13,0-3,2-4,1,1,2,4,0,0,1,4,12,-9
B. BealB. BealSG,34,9-19,1-3,2-2,1,4,5,5,1,0,6,2,21,-17
K. Caldwell-PopeK. Caldwell-PopeSG,25,0-5,0-1,0-0,0,3,3,1,1,0,2,2,0,-9
A. GillA. GillPF,3,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,-5
I. ToddI. ToddPF,3,2-4,2-4,0-0,0,0,0,0,0,0,0,0,6,-5
D. BertansD. BertansSF,22,2-5,2-4,0-0,0,2,2,0,1,0,0,1,6,-9
C. KispertC. KispertSF,22,2-3,2-3,0-0,0,2,2,0,0,0,1,1,6,-12
M. HarrellM. HarrellC,22,4-8,0-0,1-5,2,3,5,2,0,1,0,1,9,-14
R. NetoR. NetoPG,23,6-16,1-4,0-0,0,3,3,1,0,0,0,1,13,-13
A. HolidayA. HolidayPG,11,2-2,0-0,1-1,0,0,0,0,0,0,0,0,5,-5
C. WinstonC. WinstonPG,3,0-1,0-1,0-0,0,0,0,2,0,0,0,0,0,-5
J. AyayiJ. AyayiG,3,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,-5
