CHI,MIA,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. Brown Jr.T. Brown Jr.SF,34,4-11,0-3,2-2,2,2,4,4,1,0,0,0,10,-18
N. VucevicN. VucevicC,34,3-15,1-4,3-4,0,8,8,2,1,0,1,3,10,-29
L. BallL. BallPG,40,5-15,4-12,1-3,1,4,5,3,1,1,5,1,15,-20
A. CarusoA. CarusoSG,27,2-5,2-3,0-0,0,1,1,5,1,0,2,3,6,-4
Z. LaVineZ. LaVineSG,38,11-20,7-11,4-5,0,7,7,4,1,0,4,2,33,-7
A. McKinnieA. McKinnieF,29,2-6,2-3,0-0,0,0,0,1,0,1,1,2,6,-31
T. CookT. CookF,5,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,-3
A. JohnsonA. JohnsonF,5,0-0,0-0,0-0,0,1,1,0,0,0,0,2,0,-3
T. BradleyT. BradleyC,9,2-3,0-0,0-0,3,4,7,1,0,1,1,1,4,+6
M. SimonovicM. SimonovicC,5,0-4,0-2,2-2,1,0,1,0,0,0,0,0,2,-3
D. DotsonD. DotsonPG,15,2-3,1-2,1-4,0,0,0,1,0,0,0,1,6,-18
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,32,3-7,2-4,0-0,2,9,11,5,1,1,0,0,8,+25
D. DedmonD. DedmonC,29,8-13,2-2,2-2,4,8,12,2,1,1,1,3,20,+22
K. LowryK. LowryPG,29,6-10,4-5,0-0,2,1,3,14,2,0,2,1,16,+26
G. VincentG. VincentPG,31,4-9,0-3,0-0,0,4,4,8,4,0,2,4,8,+17
D. RobinsonD. RobinsonSG,27,9-13,5-9,3-3,0,1,1,1,0,1,0,3,26,+16
K. OkpalaK. OkpalaSF,28,4-10,2-5,0-0,1,3,4,0,0,1,0,5,10,+9
O. YurtsevenO. YurtsevenC,7,1-2,0-1,2-2,1,5,6,0,0,1,0,2,4,-4
T. HerroT. HerroPG,33,7-18,3-9,0-0,1,5,6,3,0,0,3,2,17,+7
M. StrusM. StrusSG,21,4-11,1-5,0-0,1,2,3,2,0,0,0,1,9,+10
M. GarrettM. GarrettSG,3,0-0,0-0,0-2,0,0,0,2,0,1,0,0,0,+2
