DEN,SA,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,24,2-2,0-0,4-4,0,1,1,3,1,0,1,4,8,+17
A. GordonA. GordonPF,32,7-13,1-3,1-1,3,1,4,4,1,1,1,1,16,+28
N. JokicN. JokicC,34,15-24,4-6,1-1,2,15,17,8,1,2,5,3,35,+32
M. MorrisM. MorrisPG,31,7-12,4-8,1-1,0,3,3,4,1,2,3,0,19,+20
D. ReedD. ReedSG,17,1-3,0-0,0-0,1,6,7,2,2,0,0,2,2,+3
Ja. GreenJa. GreenPF,7,0-2,0-1,0-0,0,1,1,1,0,2,0,3,0,+2
Z. NnajiZ. NnajiPF,16,0-3,0-1,2-2,1,1,2,0,0,0,0,3,2,-4
P. CornelieP. CornelieF,2,0-0,0-0,0-0,1,1,2,0,0,0,0,1,0,-6
V. CancarV. CancarSF,4,0-2,0-0,0-0,0,0,0,0,1,0,0,0,0,-10
F. CampazzoF. CampazzoPG,29,2-5,1-3,3-3,2,0,2,8,1,1,0,1,8,-2
M. HowardM. HowardPG,21,7-15,6-12,1-2,0,1,1,0,0,0,0,3,21,-8
B. HylandB. HylandPG,23,6-12,4-9,0-0,0,1,1,3,1,0,1,4,16,+3
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,14,0-3,0-2,0-0,0,1,1,0,0,0,0,2,0,-24
K. JohnsonK. JohnsonSF,21,5-7,3-3,1-2,0,4,4,1,0,0,0,1,14,-26
J. PoeltlJ. PoeltlC,18,2-4,0-0,2-5,2,0,2,4,0,1,3,3,6,-15
D. WhiteD. WhitePG,22,3-9,0-4,4-4,0,2,2,3,1,0,2,1,10,-27
D. MurrayD. MurrayPG,23,3-9,0-1,0-0,0,5,5,4,2,1,5,2,6,-35
T. YoungT. YoungPF,19,3-8,0-0,1-2,4,2,6,4,1,0,0,2,7,+7
D. EubanksD. EubanksPF,20,1-2,0-0,0-0,1,2,3,2,0,2,1,0,2,0
K. Bates-DiopK. Bates-DiopSF,16,4-7,1-2,1-3,2,2,4,0,0,0,0,3,10,+14
T. JonesT. JonesPG,23,5-8,0-0,2-2,3,6,9,5,0,0,0,1,12,+19
B. ForbesB. ForbesSG,20,5-13,3-6,1-1,1,0,1,1,0,0,3,2,14,+12
L. Walker IVL. Walker IVSG,22,5-9,1-4,5-5,0,3,3,0,0,0,3,0,16,+3
D. VassellD. VassellSG,23,5-10,2-5,3-5,1,4,5,4,0,0,0,1,15,-3
