NO,SA,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,39,11-25,0-4,5-8,1,6,7,9,1,0,1,3,27,0
H. JonesH. JonesSF,24,1-4,0-1,0-0,0,1,1,1,2,2,2,0,2,-9
J. ValanciunasJ. ValanciunasC,32,7-15,1-3,2-3,6,6,12,4,0,1,4,3,17,-15
D. GrahamD. GrahamPG,31,3-11,2-6,0-0,0,0,0,2,1,0,1,2,8,-19
J. HartJ. HartSG,33,6-8,1-2,0-1,1,9,10,4,0,0,1,1,13,-21
G. TempleG. TempleSF,13,1-4,1-4,0-0,0,1,1,0,0,0,1,0,3,-10
HernangómezHernangómez C,16,4-5,0-0,2-3,2,7,9,1,0,1,1,4,10,0
T. SatoranskyT. SatoranskySG,17,0-3,0-1,0-0,0,0,0,3,1,0,0,0,0,+4
N. Alexander-WalkerN. Alexander-WalkerSG,31,6-16,3-6,0-0,1,1,2,0,2,0,3,4,15,-7
T. Murphy IIIT. Murphy IIISG,5,1-3,0-2,0-0,0,0,0,0,1,0,0,0,2,+2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,30,6-11,1-4,0-0,0,4,4,1,0,0,1,2,13,+12
K. JohnsonK. JohnsonSF,29,5-12,3-5,4-4,1,3,4,1,1,0,1,2,17,+6
J. PoeltlJ. PoeltlC,34,10-12,0-0,4-9,7,5,12,3,1,2,4,4,24,+21
D. WhiteD. WhitePG,34,9-17,1-6,5-5,0,8,8,9,4,1,2,0,24,+25
D. MurrayD. MurrayPG,34,5-13,0-2,0-0,1,11,12,10,3,0,1,2,10,+9
D. EubanksD. EubanksPF,14,2-3,0-0,0-0,2,5,7,3,1,0,2,1,4,-6
K. Bates-DiopK. Bates-DiopSF,1,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,-4
J. LandaleJ. LandaleC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-4
T. JonesT. JonesPG,18,3-5,1-2,0-0,1,2,3,2,0,0,0,0,7,+7
L. Walker IVL. Walker IVSG,22,4-11,1-4,2-2,1,1,2,0,0,0,0,3,11,+4
D. VassellD. VassellSG,21,1-7,0-2,0-0,2,1,3,2,1,2,1,4,2,+5
