MIA,CLE,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,35,9-15,5-8,0-0,4,5,9,5,0,1,3,3,23,0
D. DedmonD. DedmonC,23,5-7,0-1,0-0,3,2,5,2,1,0,1,3,10,-10
K. LowryK. LowryPG,38,8-16,4-8,2-2,0,3,3,5,1,1,2,4,22,-11
G. VincentG. VincentPG,34,4-7,2-4,0-0,0,3,3,4,0,1,3,1,10,-3
D. RobinsonD. RobinsonSG,32,2-9,1-7,1-3,0,5,5,3,1,0,1,2,6,-1
K. OkpalaK. OkpalaSF,17,1-5,1-4,0-0,1,2,3,2,1,0,2,1,3,-11
O. YurtsevenO. YurtsevenC,20,3-7,0-1,2-4,3,4,7,1,0,1,0,0,8,-1
T. HerroT. HerroPG,25,6-15,0-3,0-0,0,2,2,2,0,0,2,0,12,-8
M. StrusM. StrusSG,16,0-4,0-4,0-0,0,2,2,2,0,0,0,1,0,-10
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. MarkkanenL. MarkkanenPF,32,5-13,2-7,0-0,1,3,4,2,0,0,0,1,12,+21
I. OkoroI. OkoroSF,35,7-12,4-8,0-0,0,5,5,2,0,0,1,3,18,+10
J. AllenJ. AllenC,32,6-6,0-0,5-5,4,4,8,3,0,1,3,2,17,+7
E. MobleyE. MobleyC,35,3-11,0-0,3-4,2,3,5,3,2,0,2,1,9,+3
D. GarlandD. GarlandPG,36,5-16,3-7,3-3,0,4,4,5,3,0,3,2,16,+2
K. LoveK. LovePF,24,6-10,5-8,6-6,1,8,9,1,0,0,2,2,23,+5
L. StevensL. StevensF,13,1-1,1-1,0-0,0,4,4,0,0,0,0,2,3,+6
C. OsmanC. OsmanSF,6,0-3,0-1,0-0,0,0,0,1,0,0,0,0,0,-3
R. RubioR. RubioPG,28,3-9,1-4,0-0,0,3,3,7,1,0,1,3,7,+4
