GS,IND,2
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. GreenD. GreenPF,31,7-10,0-1,1-2,2,7,9,5,0,0,3,4,15,-4
A. WigginsA. WigginsSF,34,7-15,0-3,1-1,2,3,5,1,1,3,2,4,15,-6
K. LooneyK. LooneyC,27,7-10,0-0,0-0,2,6,8,3,0,0,0,3,14,+10
S. CurryS. CurryPG,35,8-20,5-15,5-5,1,5,6,6,1,1,7,1,26,+17
J. PooleJ. PooleSG,29,3-9,1-4,1-3,0,4,4,4,0,0,2,4,8,-5
N. BjelicaN. BjelicaPF,9,1-1,1-1,0-0,0,2,2,0,0,0,1,3,3,-1
J. KumingaJ. KumingaPF,6,1-3,0-1,1-2,0,1,1,0,0,0,1,0,3,+11
O. Porter Jr.O. Porter Jr.SF,25,5-9,0-2,0-0,1,5,6,0,0,0,0,1,10,-7
J. Toscano-AndersonJ. Toscano-AndersonSF,14,1-2,0-0,0-0,1,2,3,2,1,0,1,3,2,+9
D. LeeD. LeeSG,19,1-3,0-2,1-1,0,3,3,0,2,1,0,1,3,-5
G. Payton IIG. Payton IISG,9,1-1,1-1,0-0,0,0,0,0,1,1,0,1,3,-12
M. MoodyM. MoodySG,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,+3
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,36,12-17,0-1,6-10,6,5,11,0,2,1,1,2,30,-11
M. TurnerM. TurnerC,36,1-10,0-6,4-4,1,9,10,1,0,4,1,2,6,+4
M. BrogdonM. BrogdonPG,36,7-14,1-3,8-10,2,4,6,8,2,0,2,1,23,+5
C. LeVertC. LeVertSG,37,7-18,3-6,2-2,1,1,2,5,1,0,3,2,19,-6
C. DuarteC. DuarteSG,22,1-6,1-3,0-0,0,4,4,1,0,0,3,4,3,-7
O. BrissettO. BrissettSF,25,3-7,2-5,0-0,1,3,4,0,5,0,0,2,8,+6
B. WanamakerB. WanamakerPG,5,1-1,0-0,0-0,1,0,1,0,0,0,0,1,2,-9
J. LambJ. LambSG,17,1-7,0-3,3-5,1,2,3,1,1,0,0,1,5,+12
K. MartinK. MartinSG,26,2-7,0-3,0-0,0,1,1,0,0,0,0,3,4,-4
