HOU,ATL,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,24,6-11,3-4,0-0,0,2,2,4,2,2,1,3,15,+5
C. WoodC. WoodC,25,4-13,0-6,4-4,1,4,5,3,1,0,0,3,12,-12
E. GordonE. GordonSG,32,10-16,5-8,7-9,1,2,3,3,1,0,4,3,32,+1
G. MathewsG. MathewsSG,27,1-6,0-4,3-3,0,8,8,1,1,0,1,2,5,+2
A. BrooksA. BrooksSG,22,2-9,2-7,0-0,0,3,3,2,1,0,2,2,6,-17
K. Martin Jr.K. Martin Jr.F,27,5-11,1-3,2-5,3,3,6,3,0,1,1,2,13,+2
D. NwabaD. NwabaSF,11,4-5,2-2,0-0,2,4,6,3,1,0,1,2,10,+17
A. SengunA. SengunC,25,4-10,0-2,3-4,3,3,6,4,1,2,1,5,11,+15
D.J. AugustinD.J. AugustinPG,23,7-9,6-7,2-2,0,2,2,1,0,0,0,1,22,+21
J. ChristopherJ. ChristopherSG,24,3-6,0-3,0-0,2,2,4,3,0,0,0,1,6,-4
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,25,4-9,1-3,5-6,2,5,7,0,0,1,1,4,14,-15
C. CapelaC. CapelaC,32,5-8,0-0,2-4,3,13,16,1,1,2,1,3,12,+2
T. YoungT. YoungPG,36,14-22,5-9,8-9,0,4,4,9,1,0,7,2,41,+4
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,21,2-5,1-3,3-3,0,3,3,1,1,0,1,2,8,-10
K. HuerterK. HuerterSG,34,2-10,1-7,0-0,1,2,3,5,1,0,0,4,5,-8
D. GallinariD. GallinariPF,27,4-9,3-5,1-1,0,2,2,0,1,0,0,6,12,+13
C. ReddishC. ReddishSF,28,3-8,2-6,4-4,1,1,2,0,2,1,0,1,12,-3
G. DiengG. DiengC,10,2-3,2-3,2-2,0,2,2,0,1,2,1,4,8,-5
L. WilliamsL. WilliamsSG,15,5-9,0-3,2-2,1,0,1,2,1,0,1,0,12,-8
D. WrightD. WrightSG,14,1-2,0-0,0-0,0,0,0,2,0,0,0,0,2,0
