PHI,MEM,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,25,5-12,0-2,2-3,0,2,2,2,0,1,2,2,12,-15
A. DrummondA. DrummondC,21,3-7,0-0,0-0,3,6,9,3,0,3,2,1,6,-13
T. MaxeyT. MaxeyPG,30,9-17,2-5,3-3,0,0,0,7,1,0,3,3,23,-23
M. ThybulleM. ThybulleSG,21,1-3,1-2,1-2,0,1,1,0,2,0,1,1,4,-12
F. KorkmazF. KorkmazSG,32,5-11,0-3,0-0,0,6,6,3,0,1,0,0,10,-24
D. GreenD. GreenSF,17,0-2,0-2,0-0,0,3,3,0,0,1,1,0,0,-15
G. NiangG. NiangSF,27,3-7,0-3,0-2,0,2,2,0,0,0,3,2,6,-25
C. BasseyC. BasseyC,22,6-10,0-0,1-2,2,8,10,0,0,4,0,6,13,-17
S. MiltonS. MiltonSG,30,4-9,1-3,3-4,0,4,4,5,1,0,3,3,12,-16
I. JoeI. JoeSG,16,1-5,0-2,3-3,0,1,1,2,1,0,0,1,5,-15
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,26,8-17,1-6,5-6,1,3,4,2,1,2,2,2,22,+21
D. BrooksD. BrooksSF,27,9-15,2-5,3-4,1,5,6,2,1,0,1,3,23,+26
S. AdamsS. AdamsC,20,3-5,0-0,0-0,2,2,4,1,1,0,1,1,6,+9
T. JonesT. JonesPG,24,6-7,0-1,1-2,2,2,4,4,1,0,0,0,13,+20
D. BaneD. BaneSG,21,2-7,1-3,0-0,0,8,8,6,1,1,0,1,5,+13
S. AldamaS. AldamaPF,7,1-2,0-0,1-2,0,1,1,0,0,0,1,2,3,+3
K. AndersonK. AndersonSF,18,3-6,1-1,2-2,0,3,3,3,4,0,1,2,9,+15
K. TillieK. TillieSF,18,2-7,2-6,0-0,2,2,4,2,0,1,1,5,6,+7
X. TillmanX. TillmanC,19,3-4,1-1,1-2,2,3,5,3,1,1,1,3,8,+17
J. KoncharJ. KoncharSG,24,4-4,3-3,0-0,1,4,5,2,0,0,0,1,11,+16
D. MeltonD. MeltonSG,20,4-9,2-6,5-5,0,1,1,4,2,1,1,0,15,+22
Y. PonsY. PonsSG,7,1-2,1-1,0-0,0,2,2,0,0,0,0,0,3,+3
J. CulverJ. CulverG,7,1-4,0-1,0-0,0,3,3,0,0,0,0,0,2,+3
