TOR,BKN,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,44,12-21,0-4,1-2,1,5,6,2,1,1,2,5,25,+13
C. BoucherC. BoucherPF,32,4-7,1-3,0-0,1,8,9,0,0,2,0,4,9,+15
S. BarnesS. BarnesSF,44,7-13,3-5,6-8,7,5,12,5,0,0,2,4,23,-7
F. VanVleetF. VanVleetSG,47,10-23,6-14,5-5,0,4,4,9,2,0,4,1,31,+8
G. Trent Jr.G. Trent Jr.SG,42,9-19,6-12,1-2,0,2,2,5,3,0,0,3,25,+13
Y. WatanabeY. WatanabeSF,27,1-6,1-5,2-2,1,4,5,3,0,3,1,1,5,-15
J. ChampagnieJ. ChampagnieSF,11,3-8,0-4,0-0,3,0,3,0,0,0,0,1,6,-12
M. FlynnM. FlynnPG,7,1-4,1-3,0-0,0,0,0,0,0,0,1,0,3,-10
S. MykhailiukS. MykhailiukSG,9,1-4,0-2,0-0,0,0,0,2,0,0,2,2,2,-15
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,48,12-29,2-8,8-8,1,12,13,11,0,1,4,1,34,-5
B. GriffinB. GriffinPF,31,4-6,2-4,3-4,0,5,5,6,2,0,1,6,13,-3
N. ClaxtonN. ClaxtonPF,26,8-10,0-0,0-0,3,4,7,1,0,1,1,2,16,+4
D. Duke Jr.D. Duke Jr.SF,38,4-13,0-3,2-3,6,7,13,3,2,2,0,4,10,+2
P. MillsP. MillsPG,43,10-20,7-14,3-4,1,3,4,2,1,0,3,2,30,+15
K. EdwardsK. EdwardsSF,44,7-12,3-6,0-0,4,6,10,2,2,0,2,2,17,+10
D. SharpeD. SharpeC,13,3-3,0-0,1-4,4,3,7,0,0,1,2,2,7,-7
C. ThomasC. ThomasSG,22,2-10,0-4,0-0,0,1,1,3,0,0,3,1,4,-6
