MIN,DEN,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,33,3-3,0-0,0-0,3,5,8,2,1,0,1,4,6,+26
A. EdwardsA. EdwardsSF,34,14-21,10-14,0-0,0,5,5,1,1,1,2,2,38,+18
K. TownsK. TownsC,36,12-18,3-7,5-5,0,4,4,4,3,1,2,4,32,+18
P. BeverleyP. BeverleyPG,30,4-9,3-7,0-2,0,2,2,8,0,1,1,4,11,+24
D. RussellD. RussellPG,33,6-12,3-8,1-2,0,8,8,7,0,0,2,0,16,+20
J. McDanielsJ. McDanielsPF,23,3-9,3-6,0-0,1,5,6,1,3,0,0,4,9,-5
J. LaymanJ. LaymanSF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
J. OkogieJ. OkogieSF,6,0-0,0-0,1-2,1,0,1,0,1,0,0,1,1,-2
N. ReidN. ReidC,12,1-6,1-3,3-4,1,0,1,0,0,1,0,1,6,-1
M. BeasleyM. BeasleySG,24,2-6,0-1,1-1,0,4,4,1,1,1,2,1,5,-1
J. NowellJ. NowellSG,6,0-4,0-2,0-0,0,0,0,0,0,0,1,2,0,-8
L. BolmaroL. BolmaroSG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,31,3-8,0-1,4-5,1,1,2,1,0,0,3,3,10,-22
A. GordonA. GordonPF,27,2-6,1-3,3-4,2,2,4,1,0,0,2,0,8,-28
W. BartonW. BartonSF,20,3-8,0-4,2-2,1,3,4,3,0,0,1,2,8,-18
N. JokicN. JokicC,35,11-16,2-4,3-5,2,8,10,11,1,0,4,4,27,-17
M. MorrisM. MorrisPG,32,6-10,3-5,0-0,0,0,0,5,1,0,4,1,15,-20
Z. NnajiZ. NnajiPF,22,5-8,2-4,1-3,3,6,9,0,0,1,0,1,13,+5
P. CornelieP. CornelieF,4,2-3,0-1,0-0,0,1,1,0,0,0,0,0,4,+4
V. CancarV. CancarSF,19,0-3,0-1,2-2,0,7,7,1,0,0,0,1,2,+8
B. BolB. BolC,4,0-1,0-0,0-0,0,0,0,2,0,0,0,0,0,+4
F. CampazzoF. CampazzoPG,30,2-8,2-7,0-0,0,3,3,8,1,2,1,2,6,-4
M. HowardM. HowardPG,17,4-13,4-9,2-2,0,2,2,1,2,0,2,1,14,+3
