MEM,POR,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,24,4-13,0-4,1-1,0,2,2,0,0,2,1,4,9,-21
D. BrooksD. BrooksSF,37,6-16,2-7,8-10,1,6,7,6,0,0,3,1,22,-8
S. AdamsS. AdamsC,30,4-6,0-0,2-2,7,7,14,2,3,0,3,2,10,+5
T. JonesT. JonesPG,31,5-10,2-5,0-0,0,1,1,3,0,0,3,1,12,-22
D. BaneD. BaneSG,30,8-13,5-8,2-2,1,5,6,4,0,0,0,5,23,+9
K. AndersonK. AndersonSF,27,4-10,0-2,5-7,0,11,11,3,3,2,2,0,13,+25
K. TillieK. TillieSF,7,1-2,0-1,0-0,0,1,1,0,0,0,0,1,2,+6
X. TillmanX. TillmanC,15,3-5,0-1,4-4,0,0,0,1,2,0,0,4,10,+11
J. KoncharJ. KoncharSG,18,3-3,2-2,1-2,2,3,5,0,1,0,1,1,9,+26
D. MeltonD. MeltonSG,21,1-4,0-2,1-2,0,6,6,3,1,1,2,2,3,+19
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. Nance Jr.L. Nance Jr.PF,31,2-4,1-3,1-1,0,5,5,3,1,0,1,0,6,+2
N. PowellN. PowellSF,40,7-18,4-10,7-7,0,6,6,5,2,2,1,3,25,+15
N. LittleN. LittleSF,35,2-5,1-2,4-4,1,3,4,3,0,1,0,1,9,-4
J. NurkicJ. NurkicC,31,5-11,0-1,6-8,1,11,12,2,2,0,3,4,16,+9
D. LillardD. LillardPG,38,6-21,5-11,4-4,1,4,5,4,1,1,3,2,21,+13
R. CovingtonR. CovingtonPF,23,2-6,0-4,0-0,1,2,3,1,3,2,3,4,4,-27
T. WatfordT. WatfordPF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-6
B. McLemoreB. McLemoreSG,10,0-1,0-1,0-0,0,0,0,0,0,0,1,2,0,-23
A. SimonsA. SimonsSG,30,7-16,4-6,4-4,1,2,3,0,0,0,1,4,22,-29
