WSH,SAC,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,33,3-10,0-3,0-0,0,3,3,4,0,1,1,0,6,-10
D. GaffordD. GaffordC,22,6-7,0-0,2-2,2,4,6,1,1,0,0,4,14,-9
S. DinwiddieS. DinwiddiePG,30,2-8,0-2,0-0,1,5,6,4,1,0,2,3,4,-9
B. BealB. BealSG,36,13-24,2-6,2-4,2,3,5,5,1,0,3,4,30,-9
K. Caldwell-PopeK. Caldwell-PopeSG,29,5-10,0-2,0-0,1,6,7,1,1,2,0,3,10,-9
D. BertansD. BertansSF,16,1-6,1-6,4-5,0,2,2,1,1,0,0,0,7,-5
D. AvdijaD. AvdijaSF,22,5-10,2-4,3-3,1,4,5,1,1,0,1,3,15,-9
M. HarrellM. HarrellC,21,5-7,0-0,4-5,0,2,2,1,0,0,1,2,14,+3
R. NetoR. NetoPG,20,1-5,0-0,1-2,0,2,2,2,2,0,2,2,3,-3
A. HolidayA. HolidayPG,9,1-2,0-1,0-0,0,1,1,0,0,0,0,1,2,-10
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
H. BarnesH. BarnesSF,32,6-10,1-4,6-6,1,4,5,3,1,0,1,2,19,+7
A. LenA. LenC,20,3-4,0-0,0-1,0,6,6,2,0,1,0,3,6,+1
D. FoxD. FoxPG,31,10-16,0-1,8-13,1,3,4,4,0,0,2,4,28,+4
D. MitchellD. MitchellPG,29,6-13,1-4,0-0,0,2,2,5,0,1,2,2,13,+3
T. HaliburtonT. HaliburtonPG,36,4-12,0-6,0-0,1,7,8,9,3,3,3,2,8,+9
C. MetuC. MetuPF,17,5-8,2-3,1-2,0,7,7,0,1,1,1,2,13,+18
M. HarklessM. HarklessSF,21,1-2,0-1,0-0,0,0,0,1,0,0,1,1,2,+7
T. ThompsonT. ThompsonC,21,6-7,0-0,3-4,3,1,4,0,1,0,0,1,15,+22
D. JonesD. JonesC,4,0-0,0-0,0-0,0,2,2,0,0,0,0,2,0,-12
B. HieldB. HieldSG,29,4-10,4-7,3-3,0,1,1,1,1,0,1,2,15,+11
