DET,IND,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,36,9-17,3-8,7-7,2,8,10,5,0,0,2,2,28,-3
I. StewartI. StewartC,26,2-7,0-0,5-6,3,6,9,0,0,0,3,3,9,+10
C. CunninghamC. CunninghamPG,34,8-16,1-4,2-2,0,6,6,4,1,2,2,5,19,-7
K. HayesK. HayesPG,29,1-3,0-1,0-0,0,1,1,1,0,1,1,2,2,+2
H. DialloH. DialloSG,25,5-6,0-0,2-3,0,1,1,0,0,0,0,3,12,-2
T. LylesT. LylesPF,22,3-8,0-2,4-5,0,3,3,3,1,0,1,3,10,-19
I. LiversI. LiversPF,5,0-2,0-2,0-0,0,0,0,0,1,1,1,1,0,-2
F. JacksonF. JacksonPG,25,7-11,3-6,1-1,0,3,3,1,0,0,0,1,18,-7
S. LeeS. LeePG,21,3-7,0-2,5-6,0,1,1,5,3,0,1,2,11,-10
R. McGruderR. McGruderG,17,2-4,0-0,0-0,1,2,3,1,0,0,1,1,4,-7
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,31,5-9,0-1,2-2,0,9,9,6,0,0,3,4,12,+5
J. HolidayJ. HolidaySF,26,5-15,3-10,4-4,1,1,2,0,0,1,0,2,17,-1
M. TurnerM. TurnerC,28,7-12,0-4,2-2,2,5,7,1,0,4,0,4,16,-1
B. WanamakerB. WanamakerPG,25,2-4,0-0,2-2,0,1,1,3,2,0,1,2,6,-8
C. LeVertC. LeVertSG,38,12-18,0-3,7-9,0,3,3,5,2,1,2,2,31,+1
T. CraigT. CraigSF,12,2-3,1-1,0-0,1,1,2,0,0,0,1,2,5,-1
O. BrissettO. BrissettSF,20,4-6,1-3,0-0,1,3,4,1,1,0,0,3,9,+15
G. BitadzeG. BitadzeC,5,0-1,0-1,0-0,0,2,2,0,1,0,0,2,0,+4
J. LambJ. LambSG,25,3-10,0-3,5-5,0,2,2,6,0,1,0,0,11,+13
C. DuarteC. DuarteSG,29,5-13,2-6,3-4,3,6,9,4,0,0,1,0,15,+18
