PHI,BKN,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,37,3-17,0-5,5-5,3,4,7,5,0,1,1,5,11,-17
D. GreenD. GreenSF,40,2-7,2-7,2-2,0,2,2,0,2,1,0,2,8,0
J. EmbiidJ. EmbiidC,33,11-20,1-3,9-11,0,9,9,6,1,0,2,4,32,-5
S. CurryS. CurrySG,39,13-21,3-9,0-0,0,3,3,4,1,0,1,3,29,-9
S. MiltonS. MiltonSG,34,5-13,2-5,1-2,1,5,6,0,1,1,3,5,13,+5
A. DrummondA. DrummondC,15,2-2,0-0,0-0,0,6,6,2,3,0,2,2,4,-4
M. ThybulleM. ThybulleSG,18,3-5,2-4,0-0,1,1,2,1,2,0,0,1,8,-1
I. JoeI. JoeSG,25,0-4,0-1,0-0,0,3,3,1,0,1,0,0,0,-14
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,39,13-24,2-3,6-6,1,10,11,8,0,1,4,1,34,+12
B. GriffinB. GriffinPF,32,7-16,1-5,2-2,2,7,9,2,0,0,0,3,17,-8
N. ClaxtonN. ClaxtonPF,22,8-9,0-0,1-1,1,1,2,0,2,2,1,4,17,-1
D. Duke Jr.D. Duke Jr.SF,32,2-7,0-1,2-2,2,2,4,2,1,0,2,4,6,+20
P. MillsP. MillsPG,35,5-14,4-8,0-0,0,5,5,3,0,0,4,0,14,+9
K. EdwardsK. EdwardsSF,33,4-9,1-3,0-0,2,5,7,2,1,0,1,2,9,+1
D. SharpeD. SharpeC,13,1-2,0-0,1-2,2,3,5,0,0,0,0,1,3,+4
L. GallowayL. GallowaySG,9,1-2,1-1,0-0,0,1,1,0,0,0,1,0,3,-1
C. ThomasC. ThomasSG,25,3-6,2-2,3-3,0,4,4,4,0,0,1,0,11,+9
