WSH,PHX,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,27,2-6,0-2,0-2,1,2,3,3,0,0,0,1,4,-33
D. GaffordD. GaffordC,20,0-3,0-0,0-0,3,2,5,2,0,1,2,1,0,-12
A. HolidayA. HolidayPG,19,5-10,1-3,0-0,0,3,3,1,1,0,2,4,11,-14
B. BealB. BealSG,31,11-18,2-3,2-4,1,2,3,5,1,0,5,3,26,-17
K. Caldwell-PopeK. Caldwell-PopeSG,28,3-9,1-5,2-3,0,1,1,0,1,0,1,3,9,-23
A. GillA. GillPF,8,1-1,0-0,0-0,1,1,2,0,0,0,0,2,2,+2
D. BertansD. BertansSF,11,1-2,1-2,0-0,0,3,3,0,1,0,1,1,3,-1
C. KispertC. KispertSF,20,3-9,0-2,0-1,0,1,1,1,2,1,0,2,6,-5
D. AvdijaD. AvdijaSF,26,5-6,1-2,3-3,0,4,4,4,2,0,3,0,14,+7
M. HarrellM. HarrellC,26,4-7,0-0,4-4,0,7,7,3,1,1,1,2,12,-4
R. NetoR. NetoPG,24,5-11,0-2,1-2,0,0,0,3,2,0,1,2,11,0
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,24,3-5,2-4,2-2,0,4,4,0,0,0,1,1,10,+8
M. BridgesM. BridgesSF,28,3-10,0-4,5-6,0,4,4,2,1,0,0,1,11,+19
D. AytonD. AytonC,24,6-11,0-1,3-3,2,8,10,4,0,1,2,0,15,+8
C. PaulC. PaulPG,24,6-8,0-1,0-0,0,5,5,6,2,0,3,1,12,+14
L. ShametL. ShametSG,31,6-10,4-8,0-0,0,0,0,0,2,0,1,3,16,+2
J. SmithJ. SmithPF,19,1-7,0-3,4-4,2,2,4,1,0,1,2,3,6,+8
I. WainrightI. WainrightF,3,1-2,0-1,0-0,1,0,1,0,1,0,0,0,2,-4
C. JohnsonC. JohnsonSF,26,4-6,3-5,2-2,1,4,5,1,0,0,2,4,13,+15
J. McGeeJ. McGeeC,16,6-8,0-0,5-5,2,6,8,2,2,0,1,3,17,+16
E. PaytonE. PaytonPG,21,2-3,0-0,1-1,1,2,3,4,0,0,2,1,5,+9
C. PayneC. PaynePG,23,4-9,0-2,3-3,0,3,3,5,1,0,5,6,11,+5
