DEN,ATL,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,32,8-13,4-9,0-0,0,5,5,4,0,1,2,2,20,+13
A. GordonA. GordonPF,30,5-8,2-4,4-4,0,3,3,3,0,1,4,1,16,+6
W. BartonW. BartonSF,28,2-10,1-5,0-0,0,7,7,4,0,2,1,1,5,+10
N. JokicN. JokicC,26,8-12,1-2,3-3,2,8,10,7,3,0,3,5,20,+13
M. MorrisM. MorrisPG,25,8-13,3-5,2-2,1,2,3,2,1,0,0,2,21,+4
Z. NnajiZ. NnajiPF,16,0-1,0-1,2-2,0,0,0,2,2,0,0,3,2,-4
P. CornelieP. CornelieF,3,0-1,0-1,1-2,0,0,0,0,0,1,0,0,1,+1
V. CancarV. CancarSF,17,3-3,0-0,0-0,0,0,0,2,0,0,1,3,6,+9
F. CampazzoF. CampazzoPG,20,3-5,1-2,0-0,0,3,3,8,3,0,1,2,7,+15
B. HylandB. HylandPG,26,8-11,4-5,4-5,0,4,4,2,0,2,2,2,24,+15
A. RiversA. RiversSG,17,5-9,1-4,0-0,1,2,3,1,0,0,0,1,11,+8
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,33,7-13,1-4,5-5,4,6,10,2,2,0,2,4,20,-11
C. CapelaC. CapelaC,24,7-10,0-0,1-5,4,7,11,1,0,3,0,0,15,+2
T. YoungT. YoungPG,34,12-27,1-6,9-10,0,3,3,10,2,0,4,2,34,-4
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,33,1-5,1-4,2-2,0,2,2,2,1,0,1,0,5,+2
K. HuerterK. HuerterSG,33,3-9,1-4,0-0,1,2,3,4,0,0,2,2,7,-14
D. GallinariD. GallinariPF,22,1-7,1-3,5-6,1,3,4,1,0,0,0,1,8,-19
O. OkongwuO. OkongwuPF,14,4-4,0-0,2-2,0,2,2,0,1,0,1,5,10,-11
C. ReddishC. ReddishSF,15,2-5,1-2,2-2,0,0,0,0,0,0,0,0,7,-20
G. DiengG. DiengC,4,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+3
S. CooperS. CooperPG,4,0-2,0-0,0-0,0,1,1,0,0,0,1,0,0,+3
L. WilliamsL. WilliamsSG,10,1-3,0-0,0-2,0,0,0,2,0,0,1,1,2,-17
D. WrightD. WrightSG,15,2-2,1-1,0-0,0,1,1,0,0,0,3,2,5,-4
