SA,UTAH,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,28,4-10,2-7,1-1,0,4,4,1,0,1,1,0,11,+6
K. JohnsonK. JohnsonSF,31,10-13,4-5,0-1,1,7,8,2,0,0,1,1,24,+7
J. PoeltlJ. PoeltlC,33,7-12,0-0,0-0,3,2,5,3,1,2,1,3,14,0
D. WhiteD. WhitePG,33,7-15,2-8,6-6,0,2,2,3,2,0,0,4,22,-5
D. MurrayD. MurrayPG,37,6-16,1-6,3-6,4,7,11,11,2,1,2,1,16,+10
D. EubanksD. EubanksPF,9,1-4,0-0,1-2,0,3,3,1,0,0,2,4,3,-12
J. LandaleJ. LandaleC,6,1-2,0-1,0-0,0,0,0,0,0,0,0,2,2,+14
T. JonesT. JonesPG,6,1-1,0-0,2-2,0,0,0,0,0,0,0,3,4,-10
B. ForbesB. ForbesSG,4,0-2,0-1,0-0,0,0,0,0,0,0,0,0,0,-6
L. Walker IVL. Walker IVSG,29,8-15,3-8,0-0,0,4,4,5,2,0,0,0,19,-2
D. VassellD. VassellSG,24,5-10,3-5,0-0,3,3,6,1,1,0,0,0,13,+8
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,29,3-5,1-2,4-4,1,4,5,4,0,0,0,2,11,-3
B. BogdanovicB. BogdanovicSF,29,6-12,1-3,3-4,2,3,5,2,0,0,1,4,16,-3
R. GobertR. GobertC,33,5-8,0-0,6-8,4,10,14,2,0,2,0,1,16,+7
M. ConleyM. ConleyPG,31,7-17,4-10,0-0,1,5,6,6,0,1,0,0,18,+7
D. MitchellD. MitchellSG,31,10-23,3-11,4-4,1,4,5,4,2,1,2,3,27,-7
R. GayR. GaySF,21,1-3,0-1,2-4,1,3,4,2,0,1,0,0,4,-2
H. WhitesideH. WhitesideC,13,4-5,0-0,0-0,0,4,4,0,0,0,3,3,8,-6
J. ClarksonJ. ClarksonPG,26,8-15,3-7,2-2,2,2,4,2,2,0,2,2,21,+4
J. InglesJ. InglesSG,25,2-5,1-3,0-0,0,2,2,4,1,1,4,3,5,-8
T. ForrestT. ForrestSG,2,0-0,0-0,0-0,1,0,1,0,0,0,0,0,0,+1
