HOU,DET,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,28,5-10,0-2,1-2,0,5,5,4,3,0,3,4,11,-1
C. WoodC. WoodC,30,9-19,2-6,1-2,3,5,8,1,1,1,2,3,21,+15
E. GordonE. GordonSG,28,7-11,3-4,1-2,0,1,1,5,2,0,2,0,18,+5
G. MathewsG. MathewsSG,36,6-12,4-9,0-0,0,5,5,2,3,1,2,1,16,+10
J. ChristopherJ. ChristopherSG,28,4-6,2-3,0-0,0,4,4,7,1,0,5,1,10,-3
U. GarubaU. GarubaPF,3,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-9
K. Martin Jr.K. Martin Jr.F,28,4-7,1-2,1-2,3,8,11,1,1,0,1,2,10,+9
D. NwabaD. NwabaSF,17,5-9,1-3,2-4,2,5,7,1,1,1,0,2,13,+2
A. SengunA. SengunC,22,3-8,0-2,3-3,4,1,5,4,0,2,1,4,9,+13
D.J. AugustinD.J. AugustinPG,17,3-9,1-5,1-2,1,0,1,2,3,0,2,0,8,+13
T. QueenT. QueenG,3,0-2,0-2,0-0,0,0,0,0,0,0,0,0,0,-9
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,37,9-16,3-7,2-2,1,3,4,3,1,1,0,3,23,0
I. StewartI. StewartC,20,7-9,0-0,2-2,4,4,8,1,0,1,4,4,16,+4
C. CunninghamC. CunninghamPG,36,8-19,3-9,2-2,2,5,7,11,2,1,3,3,21,+3
K. HayesK. HayesPG,36,4-11,0-4,0-0,1,3,4,10,2,1,3,1,8,-4
H. DialloH. DialloSG,22,3-8,1-3,1-3,0,3,3,0,2,0,1,2,8,-3
T. LylesT. LylesPF,19,2-4,1-1,1-2,1,1,2,2,0,1,2,3,6,-7
L. GarzaL. GarzaC,9,4-6,1-2,0-2,3,0,3,0,0,0,1,2,9,-7
F. JacksonF. JacksonPG,23,5-13,1-7,1-1,1,2,3,0,0,0,2,2,12,-13
S. LeeS. LeePG,19,1-3,0-0,2-2,1,2,3,2,1,0,0,3,4,-7
J. JacksonJ. JacksonSG,10,0-3,0-2,0-0,0,2,2,0,0,0,1,0,0,+1
R. McGruderR. McGruderG,9,0-1,0-1,0-0,1,2,3,0,0,1,3,1,0,-12
