NY,BOS,2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,41,6-19,1-7,7-8,0,9,9,7,0,1,4,3,20,-4
N. NoelN. NoelC,25,2-2,0-0,0-0,1,7,8,1,2,3,0,2,4,+3
K. WalkerK. WalkerPG,37,8-20,5-11,8-10,2,4,6,3,0,0,1,6,29,+5
A. BurksA. BurksSG,41,5-9,3-6,6-7,0,6,6,4,1,0,4,1,19,-12
E. FournierE. FournierSG,43,13-24,4-10,2-2,1,4,5,3,2,1,4,4,32,+2
W. SeldenW. SeldenF,9,0-2,0-1,0-0,0,0,0,0,0,0,0,1,0,-8
T. GibsonT. GibsonC,22,0-2,0-1,0-0,0,0,0,0,1,1,1,2,0,-11
M. RobinsonM. RobinsonC,22,1-2,0-0,1-3,4,4,8,0,2,0,0,2,3,-10
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,36,9-24,3-13,4-4,2,7,9,2,0,0,3,4,25,-4
A. NesmithA. NesmithSF,26,0-5,0-5,0-0,0,7,7,1,0,0,0,1,0,+5
R. Williams IIIR. Williams IIIC,29,6-8,0-0,3-4,4,4,8,2,0,1,0,5,15,-4
M. SmartM. SmartPG,34,2-3,0-0,0-0,1,0,1,5,1,0,2,3,4,-1
J. BrownJ. BrownSG,32,8-21,5-13,2-4,1,3,4,5,2,0,4,1,23,+3
E. FreedomE. FreedomC,21,2-4,0-0,0-0,4,4,8,1,0,1,0,2,4,+13
P. PritchardP. PritchardPG,28,6-10,4-7,0-0,0,3,3,3,0,1,2,1,16,+11
J. RichardsonJ. RichardsonSG,32,9-14,5-7,4-5,0,5,5,4,3,0,1,3,27,+12
