CLE,MIL,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,22,3-7,3-5,0-0,1,4,5,3,2,0,0,1,9,-1
L. MarkkanenL. MarkkanenPF,29,3-14,0-7,2-3,1,1,2,2,0,0,2,1,8,+15
L. StevensL. StevensF,12,3-5,1-2,1-1,1,2,3,2,0,0,1,1,8,-6
J. AllenJ. AllenC,29,6-9,0-0,2-2,3,2,5,2,1,1,0,2,14,+12
D. GarlandD. GarlandPG,32,10-13,2-4,0-0,0,4,4,6,1,0,2,0,22,+16
K. LoveK. LovePF,23,4-10,2-8,5-5,0,7,7,4,1,0,0,0,15,+28
C. OsmanC. OsmanSF,27,8-12,5-9,2-2,3,2,5,4,1,0,1,1,23,+22
E. DavisE. DavisC,10,0-0,0-0,0-0,0,5,5,0,1,1,0,3,0,+6
R. RubioR. RubioPG,29,6-12,2-6,1-1,0,5,5,10,3,1,4,2,15,+33
D. ValentineD. ValentineSG,12,1-3,1-2,0-0,0,2,2,1,0,0,1,1,3,+7
D. WindlerD. WindlerSG,7,0-2,0-1,0-0,0,2,2,0,1,0,1,1,0,+5
NembhardNembhard SG,3,1-1,0-0,0-0,0,0,0,1,0,0,1,0,2,+4
K. PangosK. PangosG,3,0-2,0-1,0-0,0,1,1,1,0,0,0,0,0,+4
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. MamukelashviliS. MamukelashviliPF,42,6-13,4-9,1-2,1,1,2,1,1,1,3,3,17,-26
J. NworaJ. NworaSF,42,11-21,4-8,2-2,3,8,11,4,0,0,3,0,28,-22
D. CousinsD. CousinsC,27,4-11,2-6,2-2,4,8,12,1,5,1,4,4,12,-6
G. HillG. HillPG,22,7-11,0-2,0-0,0,3,3,4,0,0,1,0,14,+8
J. SmartJ. SmartG,44,2-14,0-5,0-0,0,3,3,4,1,2,2,3,4,-37
S. OjeleyeS. OjeleyePF,18,1-7,1-4,2-2,1,6,7,0,0,0,0,1,5,-12
T. AntetokounmpoT. AntetokounmpoSF,25,3-6,1-2,0-2,3,1,4,2,0,0,3,4,7,-23
P. ConnaughtonP. ConnaughtonSG,19,1-6,0-2,1-1,1,1,2,2,1,0,1,0,3,-27
