MIA,DET,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,21,3-7,2-5,1-2,3,1,4,1,0,0,1,2,9,-1
D. DedmonD. DedmonC,27,5-6,1-1,0-0,0,5,5,2,0,0,3,5,11,+5
K. LowryK. LowryPG,42,3-12,2-9,11-16,2,3,5,10,1,0,4,2,19,-13
G. VincentG. VincentPG,31,3-11,1-6,1-3,0,3,3,5,1,0,1,3,8,-12
D. RobinsonD. RobinsonSG,33,2-11,2-10,0-0,0,3,3,4,0,0,1,1,6,-1
K. OkpalaK. OkpalaSF,15,1-4,0-0,0-0,1,1,2,0,1,0,1,4,2,-11
O. YurtsevenO. YurtsevenC,18,2-5,0-0,2-4,1,11,12,0,0,2,2,4,6,-8
M. StrusM. StrusSG,34,7-16,4-11,6-8,1,3,4,1,1,0,0,4,24,-6
M. GarrettM. GarrettSG,19,2-2,1-1,0-0,0,1,1,0,0,1,0,2,5,-3
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,36,7-13,3-6,9-10,0,4,4,2,0,0,0,1,26,+18
I. StewartI. StewartC,30,2-5,1-1,2-5,3,11,14,1,0,0,1,5,7,+14
C. CunninghamC. CunninghamPG,31,2-4,0-2,0-0,0,3,3,10,2,0,4,6,4,+4
K. HayesK. HayesPG,21,3-7,1-3,4-4,0,2,2,1,1,0,2,4,11,+9
H. DialloH. DialloSG,30,7-10,0-1,1-3,0,7,7,2,0,0,3,2,15,+16
T. LylesT. LylesPF,18,3-8,0-4,2-2,0,6,6,3,1,2,1,1,8,-4
L. GarzaL. GarzaC,7,2-4,0-2,1-2,2,0,2,0,0,0,0,1,5,-1
C. JosephC. JosephPG,24,4-9,0-3,1-2,0,3,3,4,0,0,0,2,9,-5
F. JacksonF. JacksonPG,22,4-9,2-7,2-2,1,0,1,1,0,0,0,3,12,-5
S. LeeS. LeePG,18,1-6,1-3,0-0,0,4,4,0,0,0,2,3,3,-1
R. McGruderR. McGruderG,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+5
