POR,MEM,2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. Nance Jr.L. Nance Jr.PF,29,1-3,0-1,0-0,1,10,11,2,2,2,0,2,2,-2
N. PowellN. PowellSF,35,10-16,5-8,3-4,0,3,3,4,0,1,5,3,28,-5
N. LittleN. LittleSF,36,4-8,0-2,4-5,4,5,9,3,1,2,1,3,12,+3
J. NurkicJ. NurkicC,34,4-10,0-1,1-2,2,9,11,1,0,0,7,3,9,-2
D. LillardD. LillardPG,38,9-19,3-9,11-12,0,5,5,5,0,0,5,3,32,-7
R. CovingtonR. CovingtonPF,34,5-7,3-5,0-0,1,7,8,0,1,4,0,2,13,+12
B. McLemoreB. McLemoreSG,15,0-2,0-2,0-0,0,2,2,0,0,0,0,1,0,+13
A. SimonsA. SimonsSG,21,2-9,0-4,5-5,1,1,2,2,0,0,2,1,9,+13
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,20,3-6,0-2,5-6,1,1,2,1,0,1,2,6,11,+1
D. BrooksD. BrooksSF,35,12-25,4-10,9-9,1,2,3,3,1,0,0,5,37,+8
S. AdamsS. AdamsC,36,5-8,0-0,3-3,4,5,9,5,3,0,0,0,13,+6
T. JonesT. JonesPG,30,2-8,1-4,0-0,0,0,0,5,1,0,0,0,5,+8
D. BaneD. BaneSG,33,4-12,1-8,0-0,0,2,2,2,1,1,1,4,9,-7
K. AndersonK. AndersonSF,28,5-14,0-1,1-3,0,4,4,1,4,1,2,2,11,-6
K. TillieK. TillieSF,10,0-2,0-1,0-0,0,1,1,0,0,0,0,1,0,-7
X. TillmanX. TillmanC,12,0-2,0-0,2-2,1,4,5,0,1,1,1,0,2,-11
J. KoncharJ. KoncharSG,12,1-4,1-3,0-0,1,1,2,1,0,0,0,0,3,-15
D. MeltonD. MeltonSG,23,3-10,2-5,1-2,2,3,5,4,2,1,2,4,9,-2
