DAL,MIN,2
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,37,9-13,3-5,2-2,2,1,3,3,1,0,0,3,23,-6
T. Hardaway Jr.T. Hardaway Jr.SF,41,10-19,4-13,4-5,0,6,6,6,2,1,1,2,28,+8
D. PowellD. PowellC,20,3-4,0-0,0-0,2,2,4,2,0,0,2,5,6,+2
K. PorzingisK. PorzingisC,23,2-9,0-2,9-9,0,3,3,1,1,1,0,1,13,+10
J. BrunsonJ. BrunsonPG,39,6-13,2-5,4-4,0,2,2,11,0,0,5,5,18,-7
M. KleberM. KleberPF,31,2-4,2-4,0-0,2,12,14,3,0,0,0,4,6,-11
S. BrownS. BrownSF,20,1-7,1-6,0-0,0,4,4,0,1,0,2,2,3,-13
M. BrownM. BrownC,10,1-4,0-0,2-2,1,1,2,0,0,0,0,1,4,-9
T. BurkeT. BurkePG,17,2-8,0-5,0-0,0,3,3,1,0,0,0,2,4,0
J. McLaughlinJ. McLaughlinPG,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-4
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,38,3-4,0-0,0-2,1,9,10,2,1,1,1,3,6,+6
K. TownsK. TownsC,34,6-15,1-3,11-13,3,4,7,6,1,0,4,5,24,+6
P. BeverleyP. BeverleyPG,31,2-6,1-4,5-6,1,7,8,4,1,2,2,4,10,+11
D. RussellD. RussellPG,35,8-16,4-7,2-2,0,2,2,3,0,0,1,2,22,-4
M. BeasleyM. BeasleySG,30,4-13,4-12,1-2,0,1,1,5,1,0,0,2,13,+5
J. McDanielsJ. McDanielsPF,32,5-8,2-4,0-0,0,1,1,1,0,0,1,2,12,+8
N. ReidN. ReidC,21,2-6,1-2,3-4,1,3,4,2,2,0,0,2,8,-3
J. NowellJ. NowellSG,18,6-9,2-2,2-2,0,4,4,3,0,0,0,1,16,+6
L. BolmaroL. BolmaroSG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-5
