HOU,CHI,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,22,7-13,1-4,1-3,1,4,5,6,0,0,0,4,16,-8
C. WoodC. WoodC,29,8-14,1-3,6-9,2,9,11,1,0,0,1,3,23,-14
E. GordonE. GordonSG,27,4-6,2-4,0-0,0,0,0,6,0,0,2,0,10,-6
G. MathewsG. MathewsSG,26,2-5,2-4,0-0,1,3,4,2,0,0,1,3,6,-9
A. BrooksA. BrooksSG,32,6-13,3-9,0-0,0,0,0,4,2,1,0,1,15,-7
U. GarubaU. GarubaPF,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+7
K. Martin Jr.K. Martin Jr.F,24,6-7,1-1,2-2,0,1,1,1,1,1,1,1,15,-12
D. NwabaD. NwabaSF,15,2-3,0-1,2-2,0,4,4,2,0,1,1,1,6,+1
A. SengunA. SengunC,19,3-5,1-1,1-2,2,3,5,2,1,0,5,3,8,-10
D.J. AugustinD.J. AugustinPG,17,2-6,1-5,2-2,1,0,1,0,0,0,1,0,7,-16
J. ChristopherJ. ChristopherSG,20,3-5,0-1,4-4,0,3,3,2,0,1,2,1,10,-8
T. QueenT. QueenG,4,1-1,0-0,0-0,0,1,1,1,0,0,0,0,2,+7
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,32,11-18,0-0,4-4,0,3,3,6,0,0,0,1,26,+10
J. GreenJ. GreenSF,27,2-5,0-2,0-0,0,3,3,4,0,0,0,5,4,+7
N. VucevicN. VucevicC,30,8-18,2-8,0-0,1,5,6,4,0,2,0,2,18,+3
L. BallL. BallPG,35,6-12,4-9,3-3,0,5,5,8,5,1,2,4,19,+17
A. CarusoA. CarusoSG,6,0-0,0-0,0-0,1,0,1,2,0,0,0,0,0,+2
A. McKinnieA. McKinnieF,29,6-10,4-6,0-0,2,3,5,1,0,1,0,3,16,+9
T. CookT. CookF,17,2-3,0-0,7-8,1,0,1,0,0,0,2,2,11,+2
T. BradleyT. BradleyC,15,3-3,0-0,2-2,1,3,4,2,1,1,1,3,8,+17
M. SimonovicM. SimonovicC,3,0-2,0-0,2-2,1,0,1,0,0,0,0,0,2,-5
C. WhiteC. WhitePG,32,7-15,5-9,5-5,2,3,5,2,0,0,2,1,24,+1
D. DotsonD. DotsonPG,14,2-2,1-1,0-0,0,0,0,4,1,0,1,2,5,+12
