SAC,GS,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MetuC. MetuPF,34,7-12,0-3,2-2,0,6,6,3,1,1,0,2,16,-2
H. BarnesH. BarnesSF,37,6-11,4-7,3-5,1,5,6,3,0,0,1,0,19,-20
T. ThompsonT. ThompsonC,27,5-12,0-0,0-2,4,5,9,1,1,0,2,1,10,-13
T. HaliburtonT. HaliburtonPG,41,8-18,2-4,6-7,0,4,4,11,3,0,5,1,24,-6
B. HieldB. HieldSG,40,6-15,6-13,0-0,0,5,5,2,4,0,5,3,18,-13
J. RobinsonJ. RobinsonF,5,1-4,0-2,0-0,0,0,0,1,0,0,0,1,2,-5
M. HarklessM. HarklessSF,25,3-5,1-3,0-0,0,2,2,1,0,0,2,1,7,-4
R. Woodard IIR. Woodard IISF,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-1
D. JonesD. JonesC,21,0-1,0-0,0-0,1,3,4,0,1,2,3,0,0,-2
N. QuetaN. QuetaC,2,0-0,0-0,0-0,0,0,0,1,0,0,1,0,0,-1
J. RamseyJ. RamseySG,6,1-5,0-0,0-0,0,0,0,0,0,0,0,0,2,-8
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. GreenD. GreenPF,33,7-11,1-2,1-2,1,10,11,10,2,2,5,3,16,+7
J. KumingaJ. KumingaPF,6,1-4,0-2,0-0,0,2,2,0,1,0,0,1,2,+7
K. LooneyK. LooneyC,16,0-1,0-0,0-0,0,2,2,1,0,1,0,2,0,+1
S. CurryS. CurryPG,36,13-27,4-12,0-1,0,3,3,4,0,2,4,1,30,+16
D. LeeD. LeeSG,30,7-8,4-4,0-0,0,5,5,1,1,0,1,3,18,+11
N. BjelicaN. BjelicaPF,15,2-7,0-1,0-0,3,0,3,2,2,0,2,2,4,+8
A. IguodalaA. IguodalaF,24,3-5,2-4,2-2,1,0,1,6,1,0,0,0,10,+16
O. Porter Jr.O. Porter Jr.SF,29,5-9,2-5,0-0,0,5,5,2,1,4,2,1,12,+13
J. Toscano-AndersonJ. Toscano-AndersonSF,16,2-4,1-3,1-1,2,2,4,1,1,0,0,2,6,-5
G. Payton IIG. Payton IISG,18,5-9,0-1,2-3,3,3,6,0,3,0,0,1,12,+1
M. MoodyM. MoodySG,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,+1
C. ChiozzaC. ChiozzaG,12,1-2,1-2,0-0,0,0,0,1,0,0,2,2,3,-1
