DET,NY,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,37,5-19,3-13,2-2,0,7,7,3,1,0,2,1,15,-9
I. StewartI. StewartC,31,3-9,0-0,3-5,5,6,11,1,1,1,1,3,9,-14
C. JosephC. JosephPG,25,6-8,3-3,0-0,0,2,2,1,0,0,2,4,15,-5
C. CunninghamC. CunninghamPG,33,2-13,0-2,3-3,0,9,9,9,0,1,5,2,7,-18
H. DialloH. DialloSG,34,5-13,0-1,0-0,2,4,6,1,5,0,2,3,10,-5
T. LylesT. LylesPF,17,4-9,1-4,4-4,1,4,5,1,0,1,0,1,13,0
L. GarzaL. GarzaC,4,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-7
F. JacksonF. JacksonPG,20,1-5,0-1,1-2,1,0,1,3,0,0,0,1,3,-4
S. LeeS. LeePG,25,7-15,1-7,1-1,0,3,3,3,2,1,0,1,16,-12
R. McGruderR. McGruderG,15,1-2,0-1,1-2,1,3,4,0,0,0,0,2,3,+4
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,38,8-18,1-6,4-5,1,10,11,3,1,0,6,5,21,+13
N. NoelN. NoelC,23,0-0,0-0,2-2,1,2,3,2,1,2,1,4,2,-10
K. WalkerK. WalkerPG,40,8-21,3-9,2-2,1,7,8,5,1,0,2,1,21,+9
A. BurksA. BurksSG,41,2-10,1-4,3-4,0,7,7,6,0,0,1,2,8,+13
E. FournierE. FournierSG,41,9-24,4-11,0-0,1,1,2,3,1,1,1,1,22,+18
W. SeldenW. SeldenF,9,1-2,1-1,2-4,0,1,1,1,0,0,0,0,5,-3
T. GibsonT. GibsonC,19,4-6,1-2,0-0,3,2,5,2,0,1,0,2,9,+4
M. RobinsonM. RobinsonC,25,8-9,0-0,1-2,6,8,14,0,1,3,1,4,17,+24
D. DotsonD. DotsonSG,4,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+2
