MIN,DAL,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. McDanielsJ. McDanielsPF,39,4-8,0-3,3-3,1,7,8,3,2,0,0,4,11,-7
K. TownsK. TownsC,38,9-14,3-4,5-5,2,12,14,7,0,2,5,3,26,-15
D. RussellD. RussellPG,36,4-18,1-11,5-5,0,1,1,12,1,0,3,3,14,-12
M. BeasleyM. BeasleySG,35,8-15,6-12,0-0,0,3,3,2,0,0,4,3,22,-19
L. BolmaroL. BolmaroSG,11,0-0,0-0,0-0,2,0,2,0,0,0,1,1,0,-7
N. KnightN. KnightF,13,1-3,0-0,1-2,3,1,4,0,0,1,0,3,3,+8
J. LaymanJ. LaymanSF,8,1-3,0-2,1-1,0,0,0,0,0,0,1,2,3,-8
N. ReidN. ReidC,18,4-6,3-4,0-0,0,3,3,0,0,2,1,2,11,+2
J. McLaughlinJ. McLaughlinPG,18,1-4,0-1,2-3,1,2,3,2,0,0,1,0,4,+1
J. NowellJ. NowellSG,24,4-8,0-3,0-1,0,1,1,0,1,0,1,1,8,-3
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,41,7-15,3-9,2-2,1,5,6,5,2,0,3,2,19,+22
S. BrownS. BrownSF,33,5-8,2-4,0-0,2,9,11,3,0,0,0,1,12,+19
D. PowellD. PowellC,21,4-7,1-1,6-6,4,4,8,2,0,0,1,1,15,+2
J. BrunsonJ. BrunsonPG,40,10-18,3-8,5-8,0,2,2,6,3,1,2,3,28,+9
F. NtilikinaF. NtilikinaPG,32,2-7,1-3,0-0,1,1,2,4,1,0,2,3,5,+11
M. ChrissM. ChrissSF,16,3-5,0-2,0-0,1,7,8,0,0,1,0,3,6,+10
B. MarjanovicB. MarjanovicC,8,4-8,0-0,2-3,1,1,2,0,0,0,1,2,10,-1
M. BrownM. BrownC,3,2-2,0-0,0-0,0,0,0,0,0,0,0,2,4,+1
T. BurkeT. BurkePG,22,3-9,0-3,2-2,0,1,1,7,1,0,0,3,8,-3
J. McLaughlinJ. McLaughlinPG,3,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-2
T. PinsonT. PinsonG,22,2-7,1-4,2-2,0,4,4,3,4,1,1,1,7,-8
