HOU,MIL,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,14,2-10,0-3,0-0,2,3,5,0,0,0,1,5,4,-15
C. WoodC. WoodC,28,6-13,0-6,8-11,3,8,11,0,0,1,2,2,20,-10
E. GordonE. GordonSG,24,4-9,2-6,2-3,0,3,3,6,0,1,1,0,12,0
G. MathewsG. MathewsSG,27,2-6,2-5,4-5,1,5,6,1,0,1,2,5,10,-2
A. BrooksA. BrooksSG,26,3-8,3-8,0-0,0,3,3,0,0,1,2,2,9,-13
U. GarubaU. GarubaPF,4,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,+1
K. Martin Jr.K. Martin Jr.F,31,5-12,2-5,0-2,1,4,5,6,0,1,1,0,12,-12
D. NwabaD. NwabaSF,15,3-6,0-1,3-4,1,3,4,1,0,2,0,1,9,-1
A. SengunA. SengunC,24,4-6,0-0,2-4,3,5,8,4,0,0,4,2,10,-23
D.J. AugustinD.J. AugustinPG,19,3-5,3-5,0-0,0,2,2,1,0,0,0,0,9,-19
J. ChristopherJ. ChristopherSG,22,3-8,1-4,2-2,2,3,5,4,0,0,2,4,9,-7
T. QueenT. QueenG,4,1-2,0-1,0-0,0,0,0,0,0,0,0,0,2,+1
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. MiddletonK. MiddletonSF,28,7-17,1-5,8-9,1,2,3,6,1,0,0,3,23,+3
J. NworaJ. NworaSF,27,7-18,4-8,0-0,4,5,9,2,1,0,1,5,18,+9
D. CousinsD. CousinsC,28,7-13,1-4,3-3,3,5,8,2,0,1,0,2,18,+12
J. HolidayJ. HolidayPG,31,10-17,2-5,2-3,1,3,4,10,2,0,2,2,24,+26
P. ConnaughtonP. ConnaughtonSG,31,3-13,3-12,0-0,1,3,4,1,4,0,0,0,9,+26
S. OjeleyeS. OjeleyePF,17,1-6,1-2,4-4,2,5,7,0,0,0,0,2,7,0
T. AntetokounmpoT. AntetokounmpoSF,9,1-3,0-1,0-0,1,1,2,0,0,0,1,6,2,-13
G. HillG. HillPG,26,1-4,0-2,2-2,0,3,3,2,0,0,0,1,4,+17
W. MatthewsW. MatthewsSG,20,6-7,4-5,0-0,0,1,1,2,0,1,0,2,16,+5
R. HoodR. HoodSG,22,2-4,1-2,0-0,1,6,7,0,0,0,1,0,5,+19
J. SmartJ. SmartG,1,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0,-4
