DEN,OKC,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,22,2-5,1-3,2-4,0,2,2,1,0,0,1,2,7,-8
A. GordonA. GordonPF,25,5-11,1-4,1-3,0,4,4,2,1,0,1,0,12,-16
W. BartonW. BartonSF,21,3-11,1-5,0-0,2,3,5,2,1,0,1,2,7,-8
N. JokicN. JokicC,25,5-9,1-4,2-2,0,7,7,3,0,2,3,0,13,-15
M. MorrisM. MorrisPG,25,3-5,1-1,3-3,0,2,2,5,0,0,0,0,10,-14
Ja. GreenJa. GreenPF,22,1-4,1-3,0-0,1,6,7,0,3,0,0,3,3,0
Z. NnajiZ. NnajiPF,9,0-4,0-2,0-2,0,0,0,0,0,0,0,0,0,-8
P. CornelieP. CornelieF,2,0-1,0-0,0-0,0,0,0,0,1,0,0,0,0,+1
V. CancarV. CancarSF,17,2-5,1-3,4-6,0,4,4,0,0,1,2,0,9,+2
F. CampazzoF. CampazzoPG,27,3-9,2-7,1-2,0,2,2,6,0,2,1,4,9,-6
B. HylandB. HylandPG,13,2-7,1-5,0-0,0,1,1,0,1,0,1,2,5,-6
A. RiversA. RiversSG,23,4-8,2-4,2-4,0,1,1,2,0,0,0,2,12,+2
D. ReedD. ReedSG,10,3-5,1-3,0-0,1,3,4,0,0,0,1,3,7,+6
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Robinson-EarlJ. Robinson-EarlPF,33,5-11,1-3,3-4,5,4,9,1,1,0,1,2,14,+21
L. DortL. DortSF,35,5-13,4-10,1-1,2,4,6,1,0,0,4,4,15,+21
D. FavorsD. FavorsC,20,5-8,0-0,0-0,1,5,6,2,1,0,0,2,10,+15
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,37,10-24,0-7,7-7,1,10,11,12,1,1,1,4,27,+19
J. GiddeyJ. GiddeySG,34,5-11,1-5,3-4,0,5,5,3,2,1,1,1,14,+8
D. BazleyD. BazleyPF,28,7-11,1-3,2-3,4,7,11,1,0,2,0,1,17,-1
I. RobyI. RobyF,2,0-1,0-0,0-0,0,2,2,0,0,0,0,1,0,+2
K. WilliamsK. WilliamsSF,16,1-3,0-1,0-0,0,2,2,1,1,0,0,4,2,-9
A. PokusevskiA. PokusevskiC,12,0-2,0-1,0-0,0,1,1,0,1,0,3,3,0,-9
T. MannT. MannPG,16,3-9,1-4,0-0,2,2,4,0,0,0,0,3,7,-2
T. JeromeT. JeromeSG,7,1-1,0-0,0-0,0,3,3,1,0,0,1,0,2,+5
