ATL,PHI,2
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,31,7-11,2-2,1-2,0,5,5,1,1,0,2,5,17,+3
O. OkongwuO. OkongwuPF,34,6-10,0-0,1-1,3,5,8,3,1,3,1,2,13,+6
C. ReddishC. ReddishSF,28,7-13,0-3,4-4,0,1,1,3,1,0,2,1,18,+13
D. WrightD. WrightSG,34,2-5,1-2,0-0,1,4,5,6,0,1,1,0,5,+8
S. MaysS. MaysSG,33,6-11,1-2,1-1,4,7,11,3,1,0,1,0,14,+9
W. IwunduW. IwunduSF,23,1-5,0-0,0-0,2,3,5,0,0,0,1,2,2,-9
J. JohnsonJ. JohnsonSF,5,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0,-6
G. DiengG. DiengC,14,3-6,2-5,4-4,1,4,5,2,1,0,0,1,12,-4
B. BogdanovicB. BogdanovicSG,28,4-17,1-9,6-7,0,5,5,2,0,0,2,3,15,-3
L. StephensonL. StephensonG,11,1-3,0-1,0-0,0,1,1,0,0,0,0,4,2,-7
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,38,5-14,0-6,6-6,0,6,6,5,2,1,2,3,16,-14
J. EmbiidJ. EmbiidC,36,6-17,2-2,9-10,2,8,10,2,1,2,2,1,23,-11
S. CurryS. CurrySG,37,5-9,2-2,0-0,0,1,1,5,1,0,3,2,12,-15
M. ThybulleM. ThybulleSG,31,4-8,0-3,0-0,2,1,3,2,1,2,0,2,8,-10
F. KorkmazF. KorkmazSG,22,2-6,0-3,2-2,0,1,1,0,0,0,0,1,6,-6
P. ReedP. ReedSF,6,0-0,0-0,0-0,0,1,1,1,0,0,0,0,0,+14
C. BasseyC. BasseyC,12,3-3,0-0,2-2,3,5,8,1,1,1,0,1,8,+9
T. MaxeyT. MaxeyPG,34,7-16,1-5,2-3,0,1,1,3,2,1,1,1,17,+9
I. JoeI. JoeSG,13,0-4,0-3,3-3,0,3,3,1,0,0,0,1,3,+1
T. JohnsonT. JohnsonG,11,1-3,1-3,0-0,1,3,4,0,0,0,0,1,3,+13
