WSH,NY,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,33,7-16,2-8,2-2,1,9,10,2,1,1,2,4,18,+15
C. KispertC. KispertSF,33,6-7,4-5,4-4,1,1,2,3,0,0,1,2,20,+10
D. GaffordD. GaffordC,26,2-2,0-0,7-8,2,4,6,1,0,1,1,0,11,+4
S. DinwiddieS. DinwiddiePG,36,7-14,3-7,4-10,1,6,7,12,1,1,2,3,21,0
A. HolidayA. HolidayPG,28,6-11,4-7,0-0,0,3,3,5,0,0,1,2,16,+7
A. GillA. GillPF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
D. BertansD. BertansSF,14,1-4,1-4,1-1,0,1,1,0,1,0,0,0,4,+2
D. AvdijaD. AvdijaSF,29,5-8,1-4,3-4,0,5,5,2,0,3,2,4,14,+1
M. HarrellM. HarrellC,22,6-7,0-0,3-3,0,4,4,2,0,0,0,0,15,+1
R. NetoR. NetoPG,19,2-6,1-2,0-0,0,0,0,3,1,0,2,3,5,0
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,35,10-22,0-5,3-4,4,5,9,2,0,1,4,0,23,-4
M. RobinsonM. RobinsonC,25,4-4,0-0,0-0,2,1,3,0,0,0,1,6,8,+1
K. WalkerK. WalkerPG,43,14-27,7-14,9-9,2,7,9,8,0,0,0,2,44,+4
A. BurksA. BurksSG,36,6-16,4-9,4-6,0,7,7,3,1,0,2,3,20,-10
E. FournierE. FournierSG,38,2-13,2-11,2-2,0,3,3,1,1,0,0,3,8,-9
J. SimsJ. SimsPF,22,3-3,0-0,0-0,4,2,6,0,0,0,0,1,6,-5
O. ToppinO. ToppinPF,13,0-1,0-1,2-2,1,2,3,1,0,0,0,3,2,-6
D. House Jr.D. House Jr.SF,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0
T. GibsonT. GibsonC,7,1-2,0-0,0-0,1,2,3,1,0,0,0,3,2,-7
D. DotsonD. DotsonSG,16,2-4,0-1,0-0,0,1,1,1,0,0,0,0,4,+1
