MIL,DAL,2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. MiddletonK. MiddletonSF,32,8-14,2-3,8-8,0,5,5,7,1,0,5,3,26,+11
J. NworaJ. NworaSF,28,2-6,1-3,0-0,0,8,8,0,2,1,0,0,5,-13
D. CousinsD. CousinsC,28,8-15,1-4,5-7,2,6,8,4,1,1,1,3,22,+10
J. HolidayJ. HolidayPG,34,8-14,3-5,5-7,2,5,7,7,3,0,4,2,24,+2
P. ConnaughtonP. ConnaughtonSG,30,4-5,1-2,0-0,0,8,8,2,0,0,1,1,9,+8
S. OjeleyeS. OjeleyePF,10,0-3,0-3,0-0,0,0,0,1,0,0,0,1,0,-6
G. HillG. HillPG,26,2-5,0-2,0-0,1,2,3,3,0,0,1,1,4,+11
W. MatthewsW. MatthewsSG,18,3-8,1-5,0-0,1,2,3,0,0,1,0,0,7,+11
R. HoodR. HoodSG,16,0-4,0-2,0-0,0,2,2,2,0,0,0,2,0,0
G. AllenG. AllenSG,18,2-8,1-7,0-0,0,3,3,0,0,2,0,3,5,+1
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,39,3-11,2-9,4-4,0,3,3,3,0,2,0,4,12,-6
S. BrownS. BrownSF,37,4-11,2-6,0-0,3,10,13,3,1,0,0,1,10,-15
D. PowellD. PowellC,21,5-5,1-1,1-2,1,2,3,2,1,0,1,1,12,-2
J. BrunsonJ. BrunsonPG,39,7-15,2-5,3-3,1,3,4,8,0,0,2,1,19,-8
F. NtilikinaF. NtilikinaPG,38,5-16,2-10,2-2,0,1,1,5,2,0,3,3,14,-5
G. KingG. KingF,4,0-1,0-1,1-2,0,1,1,0,0,0,0,0,1,+2
M. ChrissM. ChrissSF,13,6-11,0-2,1-2,3,2,5,0,2,0,3,6,13,-7
M. BrownM. BrownC,9,1-1,0-0,1-2,0,5,5,0,0,0,1,0,3,+4
B. KnightB. KnightPG,10,1-4,0-3,0-0,0,2,2,0,0,0,0,1,2,+5
C. JonesC. JonesPG,9,0-2,0-0,0-0,0,2,2,3,0,0,1,0,0,+1
T. PinsonT. PinsonG,22,3-9,3-8,0-0,0,4,4,1,0,0,0,4,9,-4
