MEM,GS,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,29,6-12,1-3,7-9,3,2,5,2,1,1,3,3,20,-12
D. BrooksD. BrooksSF,35,6-15,1-2,0-0,0,1,1,2,2,0,2,5,13,-14
S. AdamsS. AdamsC,23,0-2,0-0,0-0,2,3,5,2,0,0,0,1,0,-4
J. MorantJ. MorantPG,32,6-15,0-4,9-10,0,3,3,6,1,0,3,1,21,-5
D. BaneD. BaneSG,30,4-11,3-7,1-1,0,2,2,1,1,1,1,4,12,+2
K. AndersonK. AndersonSF,20,3-5,2-3,0-0,0,5,5,2,0,1,0,2,8,+8
X. TillmanX. TillmanC,20,4-10,0-1,0-0,5,3,8,0,1,2,0,1,8,-3
T. JonesT. JonesPG,16,1-5,0-1,0-0,0,1,1,1,1,0,0,0,2,-4
J. KoncharJ. KoncharSG,11,0-2,0-1,0-0,2,1,3,1,1,0,0,0,0,-9
D. MeltonD. MeltonSG,25,8-13,1-4,3-4,2,7,9,1,2,1,4,3,20,-4
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. GreenD. GreenPF,34,4-8,0-3,0-0,0,5,5,9,2,3,5,4,8,+7
O. Porter Jr.O. Porter Jr.SF,30,3-7,2-4,0-0,4,5,9,3,1,3,0,0,8,+10
K. LooneyK. LooneyC,18,3-4,0-0,0-0,1,4,5,2,0,1,1,5,6,+4
S. CurryS. CurryPG,37,13-22,8-14,12-12,0,4,4,4,2,0,3,1,46,+15
G. Payton IIG. Payton IISG,33,9-16,4-7,0-2,1,1,2,1,0,1,0,3,22,+3
N. BjelicaN. BjelicaPF,22,3-8,3-6,0-2,0,7,7,2,0,1,0,1,9,+3
J. KumingaJ. KumingaPF,11,2-4,2-3,0-0,0,2,2,0,0,0,1,1,6,-3
J. Toscano-AndersonJ. Toscano-AndersonSF,26,2-7,0-2,2-2,1,2,3,6,2,0,5,3,6,+8
M. MoodyM. MoodySG,11,1-2,0-1,0-0,0,1,1,1,1,0,1,1,2,+11
C. ChiozzaC. ChiozzaG,17,0-4,0-0,0-0,1,0,1,2,1,0,2,0,0,-13
