TOR,CLE,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. BoucherC. BoucherPF,28,6-19,2-10,7-9,3,2,5,2,1,0,5,2,21,-30
D.J. WilsonD.J. WilsonF,34,6-8,0-1,3-4,1,7,8,4,5,1,2,2,15,-25
Y. WatanabeY. WatanabeSF,37,11-20,2-5,2-3,3,10,13,1,0,1,5,0,26,-33
D. BantonD. BantonPG,24,3-12,1-5,0-0,1,2,3,6,0,0,3,1,7,-34
S. MykhailiukS. MykhailiukSG,36,4-12,1-4,1-2,1,4,5,4,2,1,2,3,10,-39
J. MorganJ. MorganF,27,2-3,1-2,0-0,2,2,4,1,0,0,0,3,5,-25
D. OturuD. OturuC,20,2-4,0-1,3-5,0,2,2,0,0,0,0,0,7,-16
T. WatersT. WatersG,35,3-11,2-8,0-0,0,3,3,6,3,0,4,2,8,-23
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. LoveK. LovePF,18,7-12,6-9,2-2,1,8,9,2,1,0,1,0,22,+18
D. WadeD. WadePF,28,7-12,2-5,1-1,2,1,3,2,1,0,0,3,17,+28
L. MarkkanenL. MarkkanenPF,22,9-13,1-3,1-1,2,5,7,1,0,1,2,2,20,+17
R. RubioR. RubioPG,23,6-13,2-6,2-2,0,2,2,6,3,0,2,2,16,+21
D. GarlandD. GarlandPG,29,9-17,3-9,1-1,1,3,4,8,2,0,4,0,22,+37
J. AndersonJ. AndersonF,31,3-5,1-3,0-0,0,5,5,4,1,0,2,3,7,+31
T. ScottT. ScottF,9,3-6,0-1,0-0,1,1,2,0,1,1,0,2,6,-1
L. KornetL. KornetC,13,1-5,0-1,2-3,2,1,3,0,0,1,0,1,4,+15
T. FallT. FallC,11,1-2,0-0,1-2,3,4,7,2,0,2,1,1,3,+11
D. ValentineD. ValentineSG,26,6-11,5-9,0-0,1,8,9,2,2,0,0,1,17,+19
NembhardNembhard SG,12,2-4,0-0,0-0,0,1,1,6,0,0,0,1,4,+5
K. PangosK. PangosG,16,2-6,2-6,0-0,0,0,0,6,1,0,0,1,6,+24
