MEM,SAC,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,26,5-18,1-8,10-13,1,5,6,3,1,2,1,4,21,+12
S. AdamsS. AdamsC,27,5-8,0-0,0-0,6,3,9,6,2,0,1,3,10,+31
J. MorantJ. MorantPG,30,8-18,0-3,2-2,2,5,7,9,0,0,4,1,18,+27
J. KoncharJ. KoncharSG,28,4-8,1-3,2-2,5,9,14,3,2,2,0,1,11,+20
D. BaneD. BaneSG,32,11-19,4-6,2-2,0,4,4,2,2,0,1,1,28,+27
B. ClarkeB. ClarkePF,15,5-6,0-0,4-5,1,4,5,2,0,1,0,1,14,+1
S. BuchananS. BuchananF,3,0-1,0-1,0-0,0,0,0,1,0,0,1,1,0,-2
K. AndersonK. AndersonSF,26,5-8,1-3,3-4,0,3,3,3,0,0,1,2,14,+1
K. TillieK. TillieSF,27,1-6,1-3,1-2,2,0,2,1,1,1,1,4,4,+17
X. TillmanX. TillmanC,8,0-1,0-0,0-0,2,0,2,1,2,0,0,0,0,-7
T. JonesT. JonesPG,15,2-6,1-3,0-0,0,1,1,2,1,0,1,0,5,0
T. TerryT. TerryPG,3,1-1,0-0,0-0,0,0,0,0,0,0,0,1,2,-2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MetuC. MetuPF,19,2-6,0-1,0-0,0,3,3,1,0,0,0,2,4,-10
H. BarnesH. BarnesSF,32,4-10,3-5,1-3,2,5,7,3,1,1,2,1,12,-36
R. HolmesR. HolmesC,13,0-4,0-0,0-0,2,2,4,1,0,2,1,5,0,-15
D. FoxD. FoxPG,30,5-12,0-2,2-2,1,2,3,5,0,0,7,4,12,-16
T. HaliburtonT. HaliburtonPG,32,5-12,2-5,6-6,0,5,5,7,3,1,3,0,18,-19
M. Bagley IIIM. Bagley IIIPF,10,1-4,1-2,0-0,0,3,3,1,0,0,0,1,3,-4
L. KingL. KingPF,3,2-4,1-2,0-0,0,1,1,0,0,0,0,1,5,+2
M. HarklessM. HarklessSF,18,3-4,1-2,1-1,0,2,2,0,0,3,1,1,8,-2
R. Woodard IIR. Woodard IISF,3,1-1,1-1,0-0,0,0,0,0,0,0,0,2,3,+2
T. ThompsonT. ThompsonC,7,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-3
D. JonesD. JonesC,27,6-8,0-2,3-3,3,3,6,1,1,1,1,4,15,-11
B. HieldB. HieldSG,24,0-3,0-2,2-2,0,2,2,1,0,0,1,1,2,-17
T. DavisT. DavisSG,16,4-12,1-5,6-6,1,1,2,0,1,1,0,0,15,0
J. RamseyJ. RamseySG,3,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+2
E. MudiayE. MudiayG,3,0-0,0-0,3-4,0,0,0,2,1,0,1,0,3,+2
