NO,OKC,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,9,0-3,0-2,0-0,0,2,2,2,1,0,1,0,0,-12
H. JonesH. JonesSF,37,5-12,2-5,3-3,3,3,6,1,1,1,0,3,15,+1
HernangómezHernangómez C,23,4-8,0-0,6-9,1,5,6,2,0,0,1,1,14,+5
D. GrahamD. GrahamPG,32,5-13,3-8,2-2,0,2,2,8,1,0,1,2,15,0
J. HartJ. HartSG,38,10-17,3-7,6-6,1,9,10,4,3,1,3,3,29,-5
G. ClarkG. ClarkF,13,0-2,0-2,0-0,0,1,1,1,1,0,0,0,0,-4
G. TempleG. TempleSF,35,9-17,2-8,2-3,0,6,6,1,1,2,1,4,22,+10
J. HayesJ. HayesC,19,5-9,0-1,5-5,2,4,6,1,1,0,1,4,15,-13
T. SatoranskyT. SatoranskySG,17,1-6,0-2,0-0,2,3,5,4,1,0,2,1,2,-13
T. Murphy IIIT. Murphy IIISG,15,0-6,0-6,0-0,2,3,5,2,0,0,0,0,0,+7
J. HarperJ. HarperG,3,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0,-1
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Robinson-EarlJ. Robinson-EarlPF,26,5-9,3-6,2-2,1,6,7,1,0,0,1,2,15,+9
L. DortL. DortSF,32,5-14,1-7,2-3,0,2,2,1,4,0,2,2,13,+13
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,35,11-20,1-5,8-13,2,2,4,5,1,3,1,4,31,+5
A. WigginsA. WigginsSG,32,8-10,2-4,6-8,1,5,6,1,0,0,2,3,24,0
J. GiddeyJ. GiddeySG,28,0-8,0-2,0-0,2,8,10,10,0,1,3,0,0,-6
K. WilliamsK. WilliamsSF,21,4-7,2-3,0-0,0,5,5,0,0,0,0,3,10,-1
D. FavorsD. FavorsC,13,0-1,0-0,0-0,0,2,2,2,0,1,0,2,0,-10
M. MuscalaM. MuscalaC,10,2-2,1-1,0-0,0,4,4,0,0,0,0,1,5,+6
A. PokusevskiA. PokusevskiC,8,1-2,0-0,0-0,0,1,1,1,0,0,1,1,2,+6
T. MaledonT. MaledonPG,21,3-5,2-3,4-4,1,4,5,0,2,0,0,4,12,+2
T. JeromeT. JeromeSG,15,2-8,1-5,0-1,0,1,1,3,1,0,2,1,5,+1
