HOU,CHA,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. NwabaD. NwabaSF,24,4-9,1-1,0-0,2,6,8,1,2,0,2,2,9,-14
C. WoodC. WoodC,26,5-9,2-4,4-6,3,6,9,3,0,0,3,0,16,-18
E. GordonE. GordonSG,24,4-9,3-6,5-5,0,1,1,3,0,0,2,0,16,-12
A. BrooksA. BrooksSG,35,4-15,3-14,0-0,1,2,3,4,0,0,0,2,11,-9
J. ChristopherJ. ChristopherSG,21,2-7,1-4,1-2,0,0,0,2,0,0,3,1,6,-10
U. GarubaU. GarubaPF,13,1-4,0-2,0-0,0,4,4,0,0,1,0,2,2,-6
D. TheisD. TheisC,22,3-8,0-2,0-2,3,1,4,1,0,0,1,0,6,-11
A. SengunA. SengunC,21,2-5,0-0,1-2,3,3,6,3,0,2,4,5,5,-12
D. NixD. NixSG,26,5-8,1-3,0-0,0,3,3,3,3,0,3,0,11,-15
T. QueenT. QueenG,29,6-13,4-10,1-1,1,5,6,0,4,0,3,3,17,-13
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. McDanielsJ. McDanielsPF,27,6-12,2-4,2-2,1,2,3,3,0,0,3,2,16,+6
G. HaywardG. HaywardSF,29,4-7,2-4,0-0,0,3,3,4,3,0,3,3,10,+5
M. PlumleeM. PlumleeC,29,7-7,0-0,1-2,1,8,9,3,2,3,2,2,15,+14
L. BallL. BallPG,25,6-12,4-7,0-0,1,4,5,7,2,0,1,2,16,+17
T. RozierT. RozierSG,27,10-17,7-12,0-0,1,3,4,5,1,0,1,1,27,+23
K. JonesK. JonesPF,3,1-1,0-0,0-0,0,1,1,0,0,0,1,0,2,-3
J. ThorJ. ThorPF,4,0-1,0-1,2-2,1,1,2,0,0,0,1,0,2,+1
C. MartinC. MartinSF,22,0-5,0-1,1-2,1,3,4,3,2,0,0,0,1,+19
N. RichardsN. RichardsC,16,4-5,0-0,0-0,0,1,1,1,0,1,1,2,8,+13
I. SmithI. SmithPG,23,1-5,1-2,0-0,0,3,3,6,1,0,1,2,3,+7
K. Oubre Jr.K. Oubre Jr.SG,30,6-12,1-7,5-6,1,2,3,0,2,0,2,2,18,+16
J. BouknightJ. BouknightSG,5,2-4,1-3,0-0,0,1,1,1,0,0,0,2,5,+2
