BOS,MIN,2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. HorfordA. HorfordC,34,6-11,4-8,0-0,2,7,9,6,1,1,1,1,16,+10
R. Williams IIIR. Williams IIIC,22,3-6,0-0,2-2,3,8,11,0,1,4,1,5,8,-17
P. PritchardP. PritchardPG,45,8-22,5-14,3-3,1,7,8,6,1,0,2,4,24,+1
J. BrownJ. BrownSG,39,8-24,2-8,8-13,3,7,10,4,0,1,6,3,26,+11
R. LangfordR. LangfordSG,36,2-9,0-4,2-4,1,2,3,3,4,3,0,0,6,-32
J. ParkerJ. ParkerPF,9,1-3,1-2,0-0,0,2,2,2,0,0,1,0,3,-5
G. WilliamsG. WilliamsPF,28,4-7,3-5,4-4,2,4,6,1,1,0,3,1,15,+5
HernangómezHernangómez F,16,0-3,0-2,2-2,2,1,3,1,0,1,0,2,2,-3
S. HauserS. HauserSF,11,1-4,1-4,0-0,1,0,1,0,0,0,0,0,3,+5
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. McDanielsJ. McDanielsPF,36,6-14,2-7,3-3,1,4,5,2,1,0,2,3,17,-10
N. KnightN. KnightF,29,8-11,2-2,2-3,2,9,11,4,1,1,2,5,20,+13
J. OkogieJ. OkogieSF,16,2-4,1-2,0-0,1,2,3,0,0,2,1,1,5,-2
J. McLaughlinJ. McLaughlinPG,32,1-9,0-1,3-6,1,5,6,10,1,0,4,1,5,+15
M. BeasleyM. BeasleySG,39,6-18,3-10,0-0,1,7,8,2,0,0,2,1,15,-3
C. SilvaC. SilvaPF,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-6
J. LaymanJ. LaymanSF,24,2-7,0-3,2-2,0,4,4,3,1,1,0,1,6,-3
G. MonroeG. MonroeC,25,5-9,0-0,1-1,3,6,9,6,2,1,2,3,11,+13
J. NowellJ. NowellSG,35,10-18,6-9,3-4,2,4,6,3,1,0,1,2,29,+8
