BKN,LAC,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. ClaxtonN. ClaxtonPF,30,8-9,0-0,2-3,1,4,5,2,0,3,1,5,18,+2
B. BrownB. BrownSF,28,4-7,0-1,0-0,0,5,5,1,2,0,1,5,8,-5
P. MillsP. MillsPG,35,6-14,6-13,0-0,0,3,3,2,1,0,3,0,18,+2
J. HardenJ. HardenSG,40,15-25,4-9,5-5,0,8,8,15,2,0,3,4,39,+17
D. BembryD. BembrySG,29,6-7,0-0,0-0,0,2,2,5,1,2,1,2,12,+3
P. MillsapP. MillsapPF,10,1-2,0-1,0-0,0,1,1,2,0,1,0,2,2,+7
B. GriffinB. GriffinPF,16,4-8,0-0,4-6,4,5,9,2,1,0,0,2,12,+11
J. JohnsonJ. JohnsonPF,24,2-5,0-1,0-2,1,7,8,1,0,1,2,4,4,+13
J. Ennis IIIJ. Ennis IIIF,1,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2,+3
W. GabrielW. GabrielF,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+3
J. CarterJ. CarterPG,12,2-6,2-6,0-0,1,2,3,0,0,1,1,0,6,+12
L. GallowayL. GallowaySG,13,1-4,1-3,0-0,0,1,1,1,0,0,1,1,3,+9
S. HarrisonS. HarrisonG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+3
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,27,6-13,4-7,8-8,1,4,5,6,0,0,1,2,24,-9
I. ZubacI. ZubacC,22,4-9,0-0,1-1,7,2,9,1,0,0,2,2,9,-10
E. BledsoeE. BledsoeSG,28,5-12,3-7,2-2,0,2,2,6,1,0,4,2,15,-20
T. MannT. MannSG,26,2-7,2-3,0-0,1,1,2,1,0,0,0,2,6,-18
L. KennardL. KennardSG,24,3-7,1-4,3-6,0,3,3,0,0,0,0,0,10,-15
J. WinslowJ. WinslowPF,17,2-6,0-1,0-0,3,6,9,2,0,0,0,2,4,+4
S. IbakaS. IbakaC,14,3-6,0-2,0-0,1,2,3,1,1,2,1,2,6,-10
X. MoonX. MoonPG,12,1-2,0-0,0-0,0,1,1,1,1,0,0,0,2,+4
A. CoffeyA. CoffeySG,25,2-10,1-5,3-4,1,3,4,1,1,2,1,1,8,-4
B. Boston Jr.B. Boston Jr.SG,27,3-11,1-5,2-3,2,3,5,4,1,0,1,0,9,-8
K. JohnsonK. JohnsonSG,17,6-14,2-3,1-3,1,1,2,2,2,0,1,4,15,+6
