LAL,HOU,2
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. JohnsonS. JohnsonPF,32,3-8,0-4,3-3,0,5,5,2,1,0,0,5,9,-7
L. JamesL. JamesSF,39,11-19,3-5,7-9,4,6,10,11,1,2,3,3,32,+6
R. WestbrookR. WestbrookPG,35,10-17,2-2,2-6,4,9,13,10,2,0,7,1,24,+9
A. BradleyA. BradleyPG,31,6-13,2-5,0-0,2,2,4,0,2,0,0,3,14,+8
M. MonkM. MonkSG,40,7-14,3-7,8-8,0,2,2,2,1,2,0,1,25,+11
C. AnthonyC. AnthonyPF,28,9-15,4-8,2-2,3,6,9,0,1,2,0,4,24,+17
D. CollisonD. CollisonPG,14,1-2,0-1,0-0,0,2,2,1,0,0,0,1,2,+3
T. Horton-TuckerT. Horton-TuckerSG,21,1-4,0-2,0-1,1,2,3,1,0,0,2,5,2,-2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. NwabaD. NwabaSF,33,2-7,0-1,3-3,1,6,7,1,0,4,0,2,7,-2
C. WoodC. WoodC,33,8-12,3-4,3-6,0,6,6,3,3,1,3,3,22,-11
E. GordonE. GordonSG,33,5-6,2-2,1-1,0,3,3,3,0,0,2,0,13,-11
K. Porter Jr.K. Porter Jr.SG,35,8-17,5-9,1-2,1,4,5,9,1,1,4,5,22,-11
J. GreenJ. GreenSG,38,8-16,4-9,4-5,0,2,2,4,2,0,2,1,24,-9
A. SengunA. SengunC,15,5-8,0-0,0-1,1,1,2,0,0,1,1,4,10,+2
A. BrooksA. BrooksSG,25,3-9,2-8,3-3,0,2,2,2,1,0,0,3,11,-3
J. ChristopherJ. ChristopherSG,27,5-8,0-2,4-4,1,2,3,2,3,0,2,2,14,0
