CLE,NO,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,33,1-7,1-6,0-0,3,3,6,3,0,1,0,2,3,-2
L. MarkkanenL. MarkkanenPF,31,6-15,0-4,2-2,1,4,5,2,2,0,1,4,14,+4
I. OkoroI. OkoroSF,31,2-6,0-1,2-4,2,0,2,3,1,0,3,5,6,-5
E. MobleyE. MobleyC,30,9-12,1-2,3-3,0,7,7,0,0,0,1,3,22,-8
R. RubioR. RubioPG,37,10-25,3-7,4-4,2,11,13,9,2,2,1,1,27,+2
K. LoveK. LovePF,32,7-14,7-12,3-4,2,2,4,3,1,0,1,0,24,-1
J. AndersonJ. AndersonF,14,0-2,0-2,2-2,0,1,1,2,0,0,0,1,2,-2
D. ValentineD. ValentineSG,24,2-4,2-4,0-0,0,3,3,3,0,0,0,3,6,-4
K. PangosK. PangosG,9,0-3,0-3,0-0,1,0,1,2,0,0,0,0,0,-4
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. ClarkG. ClarkF,29,4-11,4-10,0-0,0,4,4,1,0,1,0,0,12,-7
G. TempleG. TempleSF,37,6-7,5-6,0-2,0,3,3,3,1,0,3,2,17,-1
H. JonesH. JonesSF,36,10-18,2-4,4-4,0,7,7,3,0,3,0,5,26,0
J. ValanciunasJ. ValanciunasC,30,4-11,1-2,6-8,4,6,10,2,0,1,4,3,15,+13
D. GrahamD. GrahamPG,33,5-12,1-6,7-9,0,5,5,5,0,1,2,2,18,+3
HernangómezHernangómez C,6,0-3,0-0,0-0,2,1,3,0,0,0,0,1,0,-8
J. HayesJ. HayesC,24,2-4,0-0,3-3,1,7,8,2,1,1,1,1,7,+22
T. SatoranskyT. SatoranskySG,17,1-4,1-3,0-0,0,2,2,5,0,0,1,0,3,+3
T. Murphy IIIT. Murphy IIISG,20,1-4,1-3,0-0,0,1,1,0,1,0,0,1,3,-6
J. HarperJ. HarperG,8,3-6,1-2,0-0,1,0,1,3,0,1,1,1,7,+1
