DEN,GS,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,29,3-8,1-3,0-0,3,0,3,0,1,1,2,1,7,-2
W. BartonW. BartonSF,36,7-15,4-7,3-3,2,2,4,4,1,1,3,0,21,+3
N. JokicN. JokicC,35,8-19,0-5,6-8,5,14,19,5,4,1,8,2,22,+6
F. CampazzoF. CampazzoPG,32,2-5,0-1,1-2,1,3,4,7,2,1,1,3,5,0
A. RiversA. RiversSG,34,2-9,2-7,2-2,0,1,1,3,1,0,1,3,8,-5
Ja. GreenJa. GreenPF,13,3-4,0-1,0-1,1,5,6,0,0,0,0,4,6,-3
Z. NnajiZ. NnajiPF,19,4-9,0-2,0-2,0,2,2,0,0,0,0,0,8,+5
B. HylandB. HylandPG,24,3-11,1-6,1-2,0,3,3,3,0,1,0,4,8,+11
D. ReedD. ReedSG,18,2-3,0-1,0-0,1,1,2,2,1,0,0,2,4,0
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. WigginsA. WigginsSF,32,8-20,3-6,2-3,3,5,8,1,2,1,2,2,21,+1
J. Toscano-AndersonJ. Toscano-AndersonSF,23,4-6,1-2,1-6,0,3,3,2,1,0,1,1,10,-4
K. LooneyK. LooneyC,26,3-5,0-0,0-0,1,4,5,3,1,1,1,4,6,+6
S. CurryS. CurryPG,39,6-16,5-14,6-7,0,4,4,4,0,0,6,3,23,+5
G. Payton IIG. Payton IISG,29,4-6,1-2,2-2,3,4,7,2,1,0,2,1,11,-2
N. BjelicaN. BjelicaPF,18,2-5,0-1,1-1,1,7,8,1,0,0,0,4,5,-6
J. KumingaJ. KumingaPF,17,3-6,0-2,3-10,0,2,2,0,0,0,0,1,9,+8
A. IguodalaA. IguodalaF,24,0-2,0-2,1-2,0,4,4,4,0,0,3,0,1,-9
O. Porter Jr.O. Porter Jr.SF,26,0-4,0-1,0-0,0,2,2,2,3,0,1,4,0,-7
C. ChiozzaC. ChiozzaG,6,0-2,0-2,0-0,0,0,0,1,0,0,0,0,0,-7
